Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
Consensus expert LLM	Seurat	 single-cell genomic, Spatial transcriptomics	Quality Controls, normalization, dimensionality reduction, data integration, clustering, Differential expression testing, visualization	spatial transcriptomic, ATACseq data, scRNA-seq data, CITE-seq, images, Raw count matrix, Cell metadata, Feature metadata	expression matrix, plots, table results, Cell embeddings, Cluster labels	bundle format (MTX), CSV, TSV, tiff, HDF5	RDS, PNG, JPEG, SVG, , CSV, TSV, PDF
Consensus expert	Seurat	 single-cell genomic	Quality Controls, normalization, dimensionality reduction, data integration, clustering, DEG (differential Expression Gene), visualization,	spatial transcriptomic, ATACseq data, scRNA-seq data, CITE-seq, images, metadata tables, Raw count matrix 	expression matrix, Seurat object, plots, table results	bundle format (mtx), CSV, TSV, tiff	RDS, PNG, JPEG, SVG, , CSV, TSV
proposition expert	Seurat	RNA-seq data analysis	Quality Controls, normalization, dimensionality reduction, data integration, clustering, DEG, visualization	Raw count matrix and meta data	Seurat object and plots		
proposition expert 1	Seurat	RNA-seq, Sequencing, single-cell analysis	"Quality control, Statistical calculation, Preprocessing, Nor-
malization, Reduction Dimensions, Clustering, Visualisations"	Expression matrices, images, tables	"R objects de type S4 de classe ObjetSeurat, table results,
plots (images)"	bundle format (mtx), CSV, TSV, tiff	RDS, PNG, JPEG, SVG, , CSV, TSV
proposition DeepSeek-V3.1	Seurat	Single-cell RNA-seq, Multimodal integration, Spatial transcriptomics, Dimensionality reduction, Clustering, Differential expression	Data normalization, Dimensionality reduction, Cell clustering, Differential expression testing, Data integration, Visualization	Gene expression matrix, Cell metadata, Feature metadata	Integrated embeddings, Cluster labels, Differential expression markers, Visualizations 	10X Genomics (MTX, TSV), HDF5, CSV, RDS (Seurat object) 	RDS (Seurat object), CSV, PDF/PNG (plots)
Consensus expert LLM	Scanpy	 single-cell genomic, Trajectory inference	Quality Controls, normalization, dimensionality reduction, data integration, clustering, Differential expression testing, visualization, cell trajectory inference, Pseudotime analysis	spatial transcriptomic, ATACseq data, scRNA-seq data, CITE-seq, images, Cell metadata, Feature metadata, Raw count matrix 	Processed expression matrix, Cluster labels, Pseudotime values, Trajectory tree, Trajectory graph, Differential expression results, plots, table results	bundle format (mtx), CSV, TSV, tiff, HDF5, H5AD 	PNG, JPEG, SVG, CSV, TSV, HDF5, H5AD, PDF 
Consensus expert	Scanpy	 single-cell genomic	Quality Controls, normalization, dimensionality reduction, data integration, clustering, DEG (differential Expression Gene), visualization, cell trajectory inference	spatial transcriptomic, ATACseq data, scRNA-seq data, CITE-seq, images, metadata tables, Raw count matrix  	expression matrix, AnnData object, plots, table results	bundle format (mtx), CSV, TSV, tiff, HDF5	PNG, JPEG, SVG, CSV, TSV, HDF5
proposition expert	Scanpy	RNA-seq data analysis	"Quality Controls, normalization, dimensionality reduction, data
integration, clustering, DEG, visualization"	Raw count matrix and meta data	AnnData object and plots		
proposition expert 1	Scanpy	RNA-seq, Sequencing, single-cell analysis	Quality control, Statistical calculation, Preprocessing, Normalization, Reduction Dimensions, Clustering, Visualisations	Expression matrices, images, tables	Anndata, table results, plots (images)	bundle format (mtx), CSV, TSV, tiff	RDS, PNG, JPEG, SVG, , CSV, TSV
proposition DeepSeek-V3.1	Scanpy	Single-cell RNA-seq, Preprocessing, Visualization, Clustering, Trajectory inference, Differential expression	Data filtering, Normalization, Dimensionality reduction, Clustering, Pseudotime analysis, Differential expression testing 	Gene expression matrix, Cell annotations	Processed expression matrix, Cluster labels, Trajectory model, Differential expression results	10X Genomics (MTX, H5), H5AD (AnnData), CSV, TSV	H5AD (AnnData), CSV, PDF/PNG (plots)
Consensus expert LLM	Monocle3	single-cell genomic, cell trajectories inference	cell trajectories inference, Quality control, Normalization, Reduction Dimensions, Clustering, Visualisations, differential expression over cell trajectory	Expression matrices, Cell metadata 	 plots,  Pseudotime values, Trajectory tree, trajectory graph, Branch labels, Differential expression results 	bundle format (mtx), CSV, TSV 	RDS, PNG, JPEG, SVG, , CSV, TSV, PDF 
proposition expert	Monocle3	RNA-seq data analysis	cell trajectories inference	Seurat object	sce monocle object with trajectories, pseudotime values for the cells		
proposition expert 1	Monocle3	RNA-seq, Sequencing, single-cell analysis.	"Trajectory inference, statistical calculation, Quality control,
Statistical calculation, Preprocessing, Normalization, Reduction Dimen-
sions, Clustering, Visualisations"	Expression matrices, tables	"R objects de type S4 de classe cell_data_set, table results,
plots (images)"	bundle format (mtx), CSV, TSV	RDS, PNG, JPEG, SVG, , CSV, TSV
Consensus expert	Monocle3	single-cell genomic, cell trajectories inference	cell trajectories inference, Quality control, Normalization, Reduction Dimensions, Clustering, Visualisations, differential expression over cell trajectory	Expression matrices, tables, Seurat object, Single Cell Experiment	 plots,  pseudotime values for the cells, trajectory tree   	bundle format (mtx), CSV, TSV	RDS, PNG, JPEG, SVG, , CSV, TSV
proposition DeepSeek-V3.1	Monocle3	Single-cell RNA-seq, Trajectory inference, Pseudotime analysis, Cell fate decisions, Differential expression 	Dimensionality reduction, Graph learning, Cell ordering, Branch analysis, Differential expression testing	Gene expression matrix, Cell metadata, Starting state information	Trajectory graph, Pseudotime values, Branch labels, Differential expression results	10X Genomics (MTX), CSV, RDS (CellDataSet)	RDS, CSV, PDF, PNG 
