tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	TP_annotations	FP_annotations	FN_annotations	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
deconvolutionLab2	topic	1	5	2	0	0.17	0.33	0.22	5	0	5	1	['image restoration']	['3d imaging', 'bioimaging', 'deconvolution microscopy', 'fluorescence microscopy', 'signal processing']	['confocal microscopy', 'wide field']	[]	['3d imaging', 'bioimaging', 'deconvolution microscopy', 'fluorescence microscopy', 'signal processing']	['image restoration']
deconvolutionLab2	operation	0	6	3	0	0.0	0.0	0.0	6	0	6	0	[]	['fast iterative shrinkage-thresholding', 'image deconvolution', 'inverse filtering', 'landweber algorithm', 'richardson-lucy deconvolution', 'tikhonov regularization']	['deconvolution', 'point-spread function generation', 'preprocessing']	[]	['fast iterative shrinkage-thresholding', 'image deconvolution', 'inverse filtering', 'landweber algorithm', 'richardson-lucy deconvolution', 'tikhonov regularization']	[]
deconvolutionLab2	input data	2	1	0	0	0.67	1.0	0.8	3	2	1	0	['microscopy images 3d', 'point spread function']	['blurred image']	[]	['microscopy images 3d', 'point spread function']	['blurred image']	[]
deconvolutionLab2	output data	1	2	1	0	0.33	0.5	0.4	2	0	2	1	['deconvolved image 3d']	['deconvolved image', 'restored image']	['point spread function']	[]	['deconvolved image', 'restored image']	['deconvolved image 3d']
deconvolutionLab2	input format	0	1	1	0	0.0	0.0	0.0	1	0	1	0	[]	['tiff']	['microscopy image format']	[]	['tiff']	[]
deconvolutionLab2	output format	0	1	1	0	0.0	0.0	0.0	1	0	1	0	[]	['tiff']	['image format']	[]	['tiff']	[]
CellPose	topic	0	6	2	0	0.0	0.0	0.0	6	0	6	0	[]	['cell biology', 'cellular imaging', 'fluorescence microscopy', 'histology', 'neuroscience', 'phase-contrast microscopy']	['cell segmentation', 'optical microscopy']	[]	['cell biology', 'cellular imaging', 'fluorescence microscopy', 'histology', 'neuroscience', 'phase-contrast microscopy']	[]
CellPose	operation	2	7	2	0	0.22	0.5	0.31	8	1	7	1	['annotation', 'model training']	['cell detection', 'clustering', 'human-in-the-loop annotation', 'image segmentation', 'instance segmentation', 'model fine-tuning', 'style vector analysis']	['segmentation 2d', 'segmentation 3d']	['model training']	['cell detection', 'clustering', 'human-in-the-loop annotation', 'image segmentation', 'instance segmentation', 'model fine-tuning', 'style vector analysis']	['annotation']
CellPose	input data	0	3	3	0	0.0	0.0	0.0	3	0	3	0	[]	['fluorescence image', 'microscopy image', 'phase-contrast image']	['annotation', 'microscopy images 2d', 'microscopy images 3d']	[]	['fluorescence image', 'microscopy image', 'phase-contrast image']	[]
CellPose	output data	2	1	2	0	0.67	0.5	0.57	2	1	1	1	['model weight', 'region of interest']	['segmentation mask']	['label masks', 'structured dataset']	['region of interest']	['segmentation mask']	['model weight']
CellPose	input format	3	0	1	0	1.0	0.75	0.86	2	2	0	1	['npy', 'png', 'tiff']	[]	['jpegs']	['png', 'tiff']	[]	['npy']
CellPose	output format	2	1	2	0	0.67	0.5	0.57	2	1	1	1	['model cellpose', 'png']	['tiff']	['imagej rois', 'npy']	['png']	['tiff']	['model cellpose']
Big-FISH	topic	1	5	1	0	0.17	0.5	0.25	5	0	5	1	['fluorescence in situ hybriditation microscopy']	['cell biology', 'gene expression', 'rna imaging', 'single-molecule fluorescence in situ hybridization', 'spatial genomics']	['spatial transcriptomics']	[]	['cell biology', 'gene expression', 'rna imaging', 'single-molecule fluorescence in situ hybridization', 'spatial genomics']	['fluorescence in situ hybriditation microscopy']
Big-FISH	operation	3	4	3	0	0.43	0.5	0.46	7	3	4	0	['cell segmentation', 'nucleus segmentation', 'spot detection']	['coordinate extraction', 'image preprocessing', 'pattern classification', 'statistical analysis']	['cluster detection', 'colocalisation', 'preprocessing']	['cell segmentation', 'nucleus segmentation', 'spot detection']	['coordinate extraction', 'image preprocessing', 'pattern classification', 'statistical analysis']	[]
Big-FISH	input data	1	3	0	0	0.25	1.0	0.4	3	0	3	1	['fluorescence in situ hybriditation (fish) microscopy image']	['3d microscopy image', 'fluorescence image', 'smfish image']	[]	[]	['3d microscopy image', 'fluorescence image', 'smfish image']	['fluorescence in situ hybriditation (fish) microscopy image']
Big-FISH	output data	0	4	2	0	0.0	0.0	0.0	4	0	4	0	[]	['cell mask', 'detection coordinates', 'nucleus mask', 'statistical data']	['label mask as np array', 'list of detection with additional features']	[]	['cell mask', 'detection coordinates', 'nucleus mask', 'statistical data']	[]
Big-FISH	input format	1	1	4	0	0.5	0.2	0.29	2	1	1	0	['tiff']	['mrc']	['jpeg', 'jpg', 'png', 'tif']	['tiff']	['mrc']	[]
Big-FISH	output format	0	1	2	0	0.0	0.0	0.0	1	0	1	0	[]	['csv']	['image format', 'txt']	[]	['csv']	[]
EcClem	topic	1	3	1	0	0.25	0.5	0.33	4	1	3	0	['image registration']	['bioimaging', 'correlative light and electron microscopy', 'multidimensional imaging']	['correlative microscopy']	['image registration']	['bioimaging', 'correlative light and electron microscopy', 'multidimensional imaging']	[]
EcClem	operation	1	7	1	0	0.12	0.5	0.19	7	0	7	1	['error estimation']	['2d to 3d registration', '3d to 3d registration', 'error mapping', 'image alignment', 'non-rigid registration', 'rigid registration', 'transformation application']	['fiducial list based registration']	[]	['2d to 3d registration', '3d to 3d registration', 'error mapping', 'image alignment', 'non-rigid registration', 'rigid registration', 'transformation application']	['error estimation']
