tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	TP_annotations	FP_annotations	FN_annotations	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
FMRIprep	topic	1	4	3	0	0.2	0.25	0.22	4	0	4	1	['bids apps']	['bids applications', 'data standardization', 'functional mri preprocessing', 'reproducible analysis']	['brain imaging', 'fmri preprocessing', 'neuroimaging']	[]	['bids applications', 'data standardization', 'functional mri preprocessing', 'reproducible analysis']	['bids apps']
FMRIprep	operation	0	5	2	0	0.0	0.0	0.0	5	0	5	0	[]	['anatomical data preprocessing', 'brain extraction', 'confound estimation', 'functional data preprocessing', 'spatial normalization']	['preprocessing', 'visualization']	[]	['anatomical data preprocessing', 'brain extraction', 'confound estimation', 'functional data preprocessing', 'spatial normalization']	[]
FMRIprep	input data	0	2	1	0	0.0	0.0	0.0	2	0	2	0	[]	['raw anatomical mri', 'raw functional mri timeseries']	['fmri']	[]	['raw anatomical mri', 'raw functional mri timeseries']	[]
FMRIprep	output data	1	3	1	0	0.25	0.5	0.33	3	0	3	1	['reports']	['normalized anatomical data', 'preprocessed functional data', 'quality control reports']	['preprocessed fmri']	[]	['normalized anatomical data', 'preprocessed functional data', 'quality control reports']	['reports']
FMRIprep	input format	0	1	2	0	0.0	0.0	0.0	1	0	1	0	[]	['bids-structured datasets']	['bids', 'nifti']	[]	['bids-structured datasets']	[]
FMRIprep	output format	3	0	0	0	1.0	1.0	1.0	3	3	0	0	['html', 'nifti', 'tsv']	[]	[]	['html', 'nifti', 'tsv']	[]	[]
SPM	topic	3	4	3	0	0.43	0.5	0.46	7	3	4	0	['eeg analysis', 'fmri analysis', 'meg analysis']	['functional neuroimaging', 'pet analysis', 'structural neuroimaging', 'voxel-based morphometry']	['anatomical mri processing', 'brain imaging', 'neuroimaging']	['eeg analysis', 'fmri analysis', 'meg analysis']	['functional neuroimaging', 'pet analysis', 'structural neuroimaging', 'voxel-based morphometry']	[]
SPM	operation	0	8	4	0	0.0	0.0	0.0	8	0	8	0	[]	['data smoothing', 'general linear model application', 'hypothesis testing', 'image segmentation', 'motion correction', 'multiple comparisons correction', 'spatial normalization', 'statistical parametric mapping']	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	[]	['data smoothing', 'general linear model application', 'hypothesis testing', 'image segmentation', 'motion correction', 'multiple comparisons correction', 'spatial normalization', 'statistical parametric mapping']	[]
SPM	input data	0	3	6	0	0.0	0.0	0.0	3	0	3	0	[]	['brain imaging sequences', 'multi-subject cohort', 'time-series data']	['anatomical mri', 'eeg', 'fmri', 'meg', 'pet', 'spect']	[]	['brain imaging sequences', 'multi-subject cohort', 'time-series data']	[]
SPM	output data	1	2	2	0	0.33	0.33	0.33	3	1	2	0	['statistical parametric maps']	['contrast maps', 'segmented tissue maps']	['preprocessed data', 'results reports']	['statistical parametric maps']	['contrast maps', 'segmented tissue maps']	[]
SPM	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	0	['dicom', 'nifti']	[]	[]	['dicom', 'nifti']	[]	[]
SPM	output format	1	0	4	0	1.0	0.2	0.33	1	1	0	0	['nifti']	[]	['jpeg', 'mat', 'pdf', 'ps']	['nifti']	[]	[]
Freesurfer	topic	0	5	4	0	0.0	0.0	0.0	5	0	5	0	[]	['brain segmentation', 'cortical reconstruction', 'morphometry.', 'neuroanatomy', 'surface-based analysis']	['brain imaging', 'diffusion mri tractography', 'fmri surface analysis', 'neuroimaging']	[]	['brain segmentation', 'cortical reconstruction', 'morphometry.', 'neuroanatomy', 'surface-based analysis']	[]
Freesurfer	operation	0	5	4	0	0.0	0.0	0.0	5	0	5	0	[]	['automated cortical surface reconstruction', 'cortical thickness measurement', 'spherical registration', 'subcortical segmentation', 'surface inflation']	['morphometry analysis', 'surface modelling', 'tractography', 'whole-brain analysis']	[]	['automated cortical surface reconstruction', 'cortical thickness measurement', 'spherical registration', 'subcortical segmentation', 'surface inflation']	[]
Freesurfer	input data	0	1	4	0	0.0	0.0	0.0	1	0	1	0	[]	['high-resolution structural mri']	['anatomical mri', 'diffusion mri', 'fmri', 'pet']	[]	['high-resolution structural mri']	[]
Freesurfer	output data	1	3	2	0	0.25	0.33	0.28	4	1	3	0	['volumetric segmentation']	['anatomical labels', 'surface meshes', 'thickness maps']	['cortical parcellations', 'surface maps']	['volumetric segmentation']	['anatomical labels', 'surface meshes', 'thickness maps']	[]
Freesurfer	input format	1	1	1	0	0.5	0.5	0.5	2	1	1	0	['nifti']	['mgz']	['dicom']	['nifti']	['mgz']	[]
Freesurfer	output format	1	2	13	0	0.33	0.07	0.12	3	1	2	0	['mgz']	['annotation files', 'gifti']	['annot', 'bfloat', 'bshort', 'cor', 'curv', 'dat', 'gca', 'gcs', 'm3d', 'mgh', 'patch', 'surface', 'xfm']	['mgz']	['annotation files', 'gifti']	[]
FSL	topic	0	5	5	0	0.0	0.0	0.0	5	0	5	0	[]	['brain image analysis.', 'diffusion mri', 'functional mri', 'magnetic resonance imaging', 'structural mri']	['anatomical mri processing', 'brain imaging', 'diffusion mri tractography', 'fmri analysis', 'neuroimaging']	[]	['brain image analysis.', 'diffusion mri', 'functional mri', 'magnetic resonance imaging', 'structural mri']	[]
FSL	operation	2	5	4	0	0.29	0.33	0.31	6	1	5	1	['functional connectivity analysis', 'tractography']	['brain extraction', 'functional connectivity analysis.', 'image registration', 'statistical analysis', 'tissue segmentation']	['group statistical analysis', 'preprocessing', 'subject statistical analysis', 'visualization']	['tractography']	['brain extraction', 'functional connectivity analysis.', 'image registration', 'statistical analysis', 'tissue segmentation']	['functional connectivity analysis']
FSL	input data	0	3	3	0	0.0	0.0	0.0	3	0	3	0	[]	['diffusion-weighted images', 'functional timeseries', 'structural volumes']	['anatomical mri', 'diffusion mri', 'fmri']	[]	['diffusion-weighted images', 'functional timeseries', 'structural volumes']	[]
FSL	output data	1	3	2	0	0.25	0.33	0.28	4	1	3	0	['statistical maps']	['fiber tracts.', 'registered images', 'segmentation maps']	['preprocessed data', 'reports']	['statistical maps']	['fiber tracts.', 'registered images', 'segmentation maps']	[]
FSL	input format	1	0	1	0	1.0	0.5	0.67	1	1	0	0	['nifti']	[]	['nifti.gz']	['nifti']	[]	[]
FSL	output format	1	0	2	0	1.0	0.33	0.5	1	1	0	0	['nifti']	[]	['html', 'nifti.gz']	['nifti']	[]	[]
