tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
Minimap2	topic	2	0	0	0	1.0	1.0	1.0	['dna sequence aligner to reference sequences', 'rna sequence aligner to reference sequences']	[]	[]
Minimap2	operation	1	0	0	0	1.0	1.0	1.0	['alignment of long reads to reference sequence (or genome)']	[]	[]
Minimap2	input data	3	0	0	0	1.0	1.0	1.0	['raw reads', 'reference genome', 'reference reads']	[]	[]
Minimap2	output data	1	0	0	0	1.0	1.0	1.0	['sequence alignment formats']	[]	[]
Minimap2	input format	3	0	0	0	1.0	1.0	1.0	['fasta', 'fastq', 'mmi']	[]	[]
Minimap2	output format	2	0	0	0	1.0	1.0	1.0	['paf', 'sam']	[]	[]
Sniffles2	topic	1	0	0	0	1.0	1.0	1.0	['detection of structural variants']	[]	[]
Sniffles2	operation	1	1	0	0	0.5	1.0	0.67	['detection of structural variants from long reads']	['detection of mosaic variants']	[]
Sniffles2	input data	2	0	0	0	1.0	1.0	1.0	['alignment file', 'reference genome']	[]	[]
Sniffles2	output data	0	1	1	0	0.0	0.0	0.0	[]	['catalog structural variants']	['structural sequence variants']
Sniffles2	input format	3	0	0	0	1.0	1.0	1.0	['bam', 'bed', 'fasta']	[]	[]
Sniffles2	output format	2	0	0	0	1.0	1.0	1.0	['snf', 'vcf']	[]	[]
htseq-count	topic	2	1	0	0	0.67	1.0	0.8	['gene expression quantification', 'rna sequencing']	['gene expression']	[]
htseq-count	operation	1	0	0	0	1.0	1.0	1.0	['counting reads in features']	[]	[]
htseq-count	input data	2	0	0	0	1.0	1.0	1.0	['alignments sequence', 'gene annotation']	[]	[]
htseq-count	output data	1	0	0	0	1.0	1.0	1.0	['expression matrix']	[]	[]
htseq-count	input format	4	1	0	0	0.8	1.0	0.89	['bam', 'gff', 'gtf', 'sam']	['cram']	[]
htseq-count	output format	1	0	0	0	1.0	1.0	1.0	['tsv']	[]	[]
