tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	expert_total	expert_retained_in_consensus	expert_not_retained	expert_retained_annotations	expert_not_retained_annotations
deseq2	topic	4	0	0	0	1.0	1.0	1.0	['condition comparisons', 'differential gene expression', 'rna sequencing', 'rna-seq']	[]	[]	3	3	0	['condition comparisons', 'differential gene expression', 'rna sequencing']	[]
deseq2	operation	2	0	0	0	1.0	1.0	1.0	['normalization of expression matrix', 'statistical differential gene expression detection']	[]	[]	2	2	0	['normalization of expression matrix', 'statistical differential gene expression detection']	[]
deseq2	input data	2	0	0	0	1.0	1.0	1.0	['experimental design metadata', 'expression matrix']	[]	[]	1	1	0	['expression matrix']	[]
deseq2	output data	1	1	1	0	0.5	0.5	0.5	['differential expression results']	['statistical tests of differential gene expression for each gene']	['normalize expression matrix']	1	0	1	[]	['statistical tests of differential gene expression for each gene']
deseq2	input format	0	1	1	0	0.0	0.0	0.0	[]	['tsv']	['dsv']	1	0	1	[]	['tsv']
deseq2	output format	0	1	1	0	0.0	0.0	0.0	[]	['tsv']	['dsv']	1	0	1	[]	['tsv']
Samtools_index	topic	2	0	0	0	1.0	1.0	1.0	['dna sequencing', 'sequence alignment']	[]	[]	2	2	0	['dna sequencing', 'sequence alignment']	[]
Samtools_index	operation	1	0	0	0	1.0	1.0	1.0	['indexing alignment file']	[]	[]	1	1	0	['indexing alignment file']	[]
Samtools_index	input data	1	0	0	0	1.0	1.0	1.0	['alignment file']	[]	[]	1	1	0	['alignment file']	[]
Samtools_index	output data	1	0	0	0	1.0	1.0	1.0	['index alignment file']	[]	[]	1	1	0	['index alignment file']	[]
Samtools_index	input format	3	0	0	0	1.0	1.0	1.0	['bam', 'cram', 'sam']	[]	[]	3	3	0	['bam', 'cram', 'sam']	[]
Samtools_index	output format	3	0	0	0	1.0	1.0	1.0	['bai', 'crai', 'csi']	[]	[]	3	3	0	['bai', 'crai', 'csi']	[]
Minimap2	topic	2	0	0	0	1.0	1.0	1.0	['dna sequence aligner to reference sequences', 'rna sequence aligner to reference sequences']	[]	[]	2	2	0	['dna sequence aligner to reference sequences', 'rna sequence aligner to reference sequences']	[]
Minimap2	operation	1	0	0	0	1.0	1.0	1.0	['alignment of long reads to reference sequence (or genome)']	[]	[]	1	1	0	['alignment of long reads to reference sequence (or genome)']	[]
Minimap2	input data	3	0	0	0	1.0	1.0	1.0	['raw reads', 'reference genome', 'reference reads']	[]	[]	3	3	0	['raw reads', 'reference genome', 'reference reads']	[]
Minimap2	output data	1	0	0	0	1.0	1.0	1.0	['sequence alignment formats']	[]	[]	1	1	0	['sequence alignment formats']	[]
Minimap2	input format	3	0	0	0	1.0	1.0	1.0	['fasta', 'fastq', 'mmi']	[]	[]	3	3	0	['fasta', 'fastq', 'mmi']	[]
Minimap2	output format	2	0	0	0	1.0	1.0	1.0	['paf', 'sam']	[]	[]	2	2	0	['paf', 'sam']	[]
htseq-count	topic	2	1	0	0	0.67	1.0	0.8	['gene expression quantification', 'rna sequencing']	['gene expression']	[]	2	1	1	['rna sequencing']	['gene expression']
htseq-count	operation	1	0	0	0	1.0	1.0	1.0	['counting reads in features']	[]	[]	1	1	0	['counting reads in features']	[]
htseq-count	input data	2	0	0	0	1.0	1.0	1.0	['alignments sequence', 'gene annotation']	[]	[]	1	1	0	['alignments sequence']	[]
htseq-count	output data	1	0	0	0	1.0	1.0	1.0	['expression matrix']	[]	[]	1	1	0	['expression matrix']	[]
htseq-count	input format	4	1	0	0	0.8	1.0	0.89	['bam', 'gff', 'gtf', 'sam']	['cram']	[]	2	1	1	['bam']	['cram']
htseq-count	output format	1	0	0	0	1.0	1.0	1.0	['tsv']	[]	[]	1	1	0	['tsv']	[]
Bedtools_annotate	topic	0	1	1	0	0.0	0.0	0.0	[]	['annotation of genome regions']	['genomic comparaison']	1	0	1	[]	['annotation of genome regions']
Bedtools_annotate	operation	0	1	1	0	0.0	0.0	0.0	[]	['annotate']	['genomic interval annotation']	1	0	1	[]	['annotate']
Bedtools_annotate	input data	3	2	0	0	0.6	1.0	0.75	['annotation tracks', 'genomic features', 'sequence variants']	['catalog variant', 'genomic feature']	[]	2	0	2	[]	['catalog variant', 'genomic feature']
Bedtools_annotate	output data	2	2	0	0	0.5	1.0	0.67	['annotated intervals', 'coverage statistics']	['coverage annotated file', 'overlap annotated file']	[]	2	0	2	[]	['coverage annotated file', 'overlap annotated file']
Bedtools_annotate	input format	3	0	0	0	1.0	1.0	1.0	['bed', 'gff', 'vcf']	[]	[]	3	3	0	['bed', 'gff', 'vcf']	[]
Bedtools_annotate	output format	3	0	0	0	1.0	1.0	1.0	['bed', 'gff', 'vcf']	[]	[]	3	3	0	['bed', 'gff', 'vcf']	[]
Canu	topic	2	1	0	0	0.67	1.0	0.8	['de novo assembly', 'long read data processing']	['assemble genomes de novo']	[]	2	1	1	['long read data processing']	['assemble genomes de novo']
Canu	operation	3	3	0	0	0.5	1.0	0.67	['contig assembly', 'read correction', 'read trimming']	['assembling of long read', 'correction of long reads', 'trimming of long reads']	[]	3	0	3	[]	['assembling of long read', 'correction of long reads', 'trimming of long reads']
Canu	input data	1	1	0	0	0.5	1.0	0.67	['raw long sequencing reads']	['raw reads']	[]	1	0	1	[]	['raw reads']
Canu	output data	2	2	1	0	0.5	0.67	0.57	['assembled contigs', 'assembled scaffolds']	['assembly', 'reads self-corrected']	['unassembled corrected reads']	2	0	2	[]	['assembly', 'reads self-corrected']
Canu	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'fastq']	[]	[]	2	2	0	['fasta', 'fastq']	[]
