Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
Consensus expert LLM	SPM	Brain Imaging, Neuroimaging, fMRI analysis, anatomical MRI processing, EEG analysis, MEG analysis	preprocessing, subject statistical analysis, group statistical analysis, visualization	fMRI, anatomical MRI, PET, SPECT, EEG, MEG	statistical parametric maps, preprocessed data, results reports	nifti, dicom	nifti, mat, PDF, JPEG, PS
Consensus expert	SPM	Brain Imaging, Neuroimaging, fMRI analysis, anatomical MRI processing	preprocessing, subject statistical analysis, group statistical analysis, visualization	fMRI, anatomical MRI, PET, SPECT, EEG, MEG	statistical parametric maps,  preprocessed data, results reports	nifti, dicom	nifti, mat, PDF, JPEG, PS
proposition DeepSeek-V3.1	SPM	 Functional neuroimaging, Structural neuroimaging, fMRI analysis, PET analysis, EEG analysis, MEG analysis, Voxel-based morphometry	Statistical parametric mapping, General linear model application, Hypothesis testing, Multiple comparisons correction, Spatial normalization, Image segmentation, Motion correction, Data smoothing	Brain imaging sequences, Time-series data, Multi-subject cohort 	Statistical parametric maps, Contrast maps, Segmented tissue maps	NIFTI, dicom	NIFTI 
Consensus expert LLM	FSL	Brain Imaging, Neuroimaging, fMRI analysis, anatomical MRI processing, diffusion MRI tractography	preprocessing, subject statistical analysis, group statistical analysis, visualization, Tractography, Functional connectivity analysis	fMRI, anatomical MRI, diffusion MRI	Statistical maps,  preprocessed data, reports	nifti, nifti.gz	nifti, nifti.gz, HTML
Consensus expert	FSL	Brain Imaging, Neuroimaging, fMRI analysis, anatomical MRI processing, diffusion MRI tractography	preprocessing, subject statistical analysis, group statistical analysis, visualization	fMRI, anatomical MRI, diffusion MRI	Statistical maps,  preprocessed data, reports	nifti, nifti.gz	nifti, nifti.gz, HTML
proposition DeepSeek-V3.1	FSL	Magnetic resonance imaging, Structural MRI, Functional MRI, Diffusion MRI, Brain image analysis.	Image registration, Brain extraction, Tissue segmentation, Statistical analysis, Tractography, Functional connectivity analysis.	Structural volumes, Functional timeseries, Diffusion-weighted images	Registered images, Segmentation maps, Statistical maps, Fiber tracts.	NIFTI 	NIFTI 
Consensus expert LLM	AFNI	Brain Imaging, Neuroimaging, fMRI analysis, anatomical MRI processing	preprocessing, subject statistical analysis, group statistical analysis, visualization, Voxel-wise regression analysis	fMRI, anatomical MRI	Parametric modulation maps	nifti, brik/head	nifti, brik/head
Consensus expert	AFNI	Brain Imaging, Neuroimaging, fMRI analysis, anatomical MRI processing	preprocessing, subject statistical analysis, group statistical analysis, visualization	fMRI, anatomical MRI	Parametric modulation maps	nifti, brik/head	nifti, brik/head
proposition DeepSeek-V3.1	AFNI	Functional neuroimaging, fMRI data analysis, Brain mapping, Neuroimaging visualization.	Image preprocessing, Voxel-wise regression analysis, Statistical thresholding, Group-level analysis, Surface-based analysis, 3D visualization	Functional MRI timeseries, Anatomical references. 	 Statistical result volumes, Region of interest masks	NIFTI, BRIK/HEAD	BRIK/HEAD, NIFTI
Consensus expert LLM	Freesurfer	Brain Imaging, Neuroimaging, fMRI surface analysis, diffusion MRI tractography	surface modelling, morphometry analysis, tractography, whole-brain analysis	fMRI, anatomical MRI, diffusion MRI, PET	Surface maps, cortical parcellations, volumetric segmentation	NIFTI, dicom	mgh, mgz, gca, bshort, bfloat, COR, surface, curv, w, annot, patch, gcs, dat, xfm, m3d
Consensus expert	Freesurfer	Brain Imaging, Neuroimaging, fMRI surface analysis, diffusion MRI tractography	surface modelling, morphometry analysis, tractography, whole-brain analysis	fMRI, anatomical MRI, diffusion MRI, PET	Surface maps, cortical parcellations, volumetric segmentation	NIFTI, dicom	mgh, mgz, gca, bshort, bfloat, COR, surface, curv, w, annot, patch, gcs, dat, xfm, m3d
proposition DeepSeek-V3.1	Freesurfer	Cortical reconstruction, Brain segmentation, Surface-based analysis, Neuroanatomy, Morphometry.	Automated cortical surface reconstruction, Subcortical segmentation, Surface inflation, Spherical registration, Cortical thickness measurement	High-resolution structural MRI	Surface meshes, Anatomical labels, Thickness maps, volumetric segmentation	MGZ, NIFTI	MGZ, GIFTI, Annotation files
Consensus expert LLM	FMRIprep	Brain Imaging, Neuroimaging, fMRI preprocessing, BIDS apps	preprocessing, visualization	fMRI	preprocessed fMRI, reports	nifti, BIDS	NIFTI, TSV, HTML
Consensus expert	FMRIprep	Brain Imaging, Neuroimaging, fMRI preprocessing	preprocessing, visualization	fMRI	preprocessed fMRI	nifti, BIDS	nifti
proposition DeepSeek-V3.1	FMRIprep	Functional MRI preprocessing, Data standardization, Reproducible analysis, BIDS applications	Anatomical data preprocessing, Functional data preprocessing, Brain extraction, Spatial normalization, Confound estimation	Raw anatomical MRI, Raw functional MRI timeseries	Preprocessed functional data, Normalized anatomical data, Quality control reports	BIDS-structured datasets	NIFTI, TSV, HTML
