tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
deseq2	topic	1	4	3	0	0.2	0.25	0.22	['rna-seq']	['differential expression', 'gene expression analysis', 'statistics', 'transcriptomics']	['condition comparisons', 'differential gene expression', 'rna sequencing']	5	1	4	0	['rna-seq']	['differential expression', 'gene expression analysis', 'statistics', 'transcriptomics']	[]
deseq2	operation	0	6	2	0	0.0	0.0	0.0	[]	['count normalization', 'dispersion estimation', 'fold change calculation', 'hypothesis testing', 'shrinkage estimation', 'statistical analysis']	['normalization of expression matrix', 'statistical differential gene expression detection']	6	0	6	0	[]	['count normalization', 'dispersion estimation', 'fold change calculation', 'hypothesis testing', 'shrinkage estimation', 'statistical analysis']	[]
deseq2	input data	1	1	1	0	0.5	0.5	0.5	['experimental design metadata']	['gene count matrix']	['expression matrix']	2	1	1	0	['experimental design metadata']	['gene count matrix']	[]
deseq2	output data	2	2	0	0	0.5	1.0	0.67	['differential expression results', 'normalize expression matrix']	['normalized counts', 'statistical test results']	[]	3	1	2	1	['differential expression results']	['normalized counts', 'statistical test results']	['normalize expression matrix']
deseq2	input format	1	4	0	0	0.2	1.0	0.33	['dsv']	['csv', 'r data objects', 'tsv', 'txt']	[]	4	0	4	1	[]	['csv', 'r data objects', 'tsv', 'txt']	['dsv']
deseq2	output format	1	5	0	0	0.17	1.0	0.29	['dsv']	['csv', 'graphics', 'r data objects', 'tsv', 'txt']	[]	5	0	5	1	[]	['csv', 'graphics', 'r data objects', 'tsv', 'txt']	['dsv']
Samtools_index	topic	0	4	2	0	0.0	0.0	0.0	[]	['alignment indexing', 'data management', 'genome analysis', 'sequence analysis']	['dna sequencing', 'sequence alignment']	4	0	4	0	[]	['alignment indexing', 'data management', 'genome analysis', 'sequence analysis']	[]
Samtools_index	operation	0	4	1	0	0.0	0.0	0.0	[]	['coordinate sorting', 'file compression handling', 'index creation', 'random access enabling']	['indexing alignment file']	4	0	4	0	[]	['coordinate sorting', 'file compression handling', 'index creation', 'random access enabling']	[]
Samtools_index	input data	0	2	1	0	0.0	0.0	0.0	[]	['read alignments', 'sequence alignments']	['alignment file']	2	0	2	0	[]	['read alignments', 'sequence alignments']	[]
Samtools_index	output data	0	1	1	0	0.0	0.0	0.0	[]	['alignment index']	['index alignment file']	1	0	1	0	[]	['alignment index']	[]
Samtools_index	input format	3	0	0	0	1.0	1.0	1.0	['bam', 'cram', 'sam']	[]	[]	3	3	0	0	['bam', 'cram', 'sam']	[]	[]
Samtools_index	output format	3	0	0	0	1.0	1.0	1.0	['bai', 'crai', 'csi']	[]	[]	3	3	0	0	['bai', 'crai', 'csi']	[]	[]
Minimap2	topic	0	5	2	0	0.0	0.0	0.0	[]	['genomics', 'long-read sequencing', 'sequence alignment', 'structural variation', 'transcriptomics']	['dna sequence aligner to reference sequences', 'rna sequence aligner to reference sequences']	5	0	5	0	[]	['genomics', 'long-read sequencing', 'sequence alignment', 'structural variation', 'transcriptomics']	[]
Minimap2	operation	0	5	1	0	0.0	0.0	0.0	[]	['alignment scoring', 'genome indexing', 'read mapping', 'sequence overlap detection', 'splice-aware alignment']	['alignment of long reads to reference sequence (or genome)']	5	0	5	0	[]	['alignment scoring', 'genome indexing', 'read mapping', 'sequence overlap detection', 'splice-aware alignment']	[]
Minimap2	input data	1	1	2	0	0.5	0.33	0.4	['reference genome']	['query sequences']	['raw reads', 'reference reads']	2	1	1	0	['reference genome']	['query sequences']	[]
Minimap2	output data	0	2	1	0	0.0	0.0	0.0	[]	['aligned sequences', 'read overlaps']	['sequence alignment formats']	2	0	2	0	[]	['aligned sequences', 'read overlaps']	[]
Minimap2	input format	2	0	1	0	1.0	0.67	0.8	['fasta', 'fastq']	[]	['mmi']	2	2	0	0	['fasta', 'fastq']	[]	[]
Minimap2	output format	2	0	0	0	1.0	1.0	1.0	['paf', 'sam']	[]	[]	2	2	0	0	['paf', 'sam']	[]	[]
htseq-count	topic	2	3	0	0	0.4	1.0	0.57	['gene expression quantification', 'rna sequencing']	['alternative splicing', 'count data', 'transcriptomics']	[]	5	2	3	0	['gene expression quantification', 'rna sequencing']	['alternative splicing', 'count data', 'transcriptomics']	[]
htseq-count	operation	0	5	1	0	0.0	0.0	0.0	[]	['ambiguity resolution', 'feature overlap detection', 'read counting', 'read pair handling', 'strandedness handling']	['counting reads in features']	5	0	5	0	[]	['ambiguity resolution', 'feature overlap detection', 'read counting', 'read pair handling', 'strandedness handling']	[]
htseq-count	input data	1	1	1	0	0.5	0.5	0.5	['gene annotation']	['aligned reads']	['alignments sequence']	2	1	1	0	['gene annotation']	['aligned reads']	[]
htseq-count	output data	0	1	1	0	0.0	0.0	0.0	[]	['count matrix']	['expression matrix']	1	0	1	0	[]	['count matrix']	[]
htseq-count	input format	4	0	0	0	1.0	1.0	1.0	['bam', 'gff', 'gtf', 'sam']	[]	[]	4	4	0	0	['bam', 'gff', 'gtf', 'sam']	[]	[]
htseq-count	output format	1	1	0	0	0.5	1.0	0.67	['tsv']	['txt']	[]	2	1	1	0	['tsv']	['txt']	[]
Bedtools_annotate	topic	1	4	0	0	0.2	1.0	0.33	['genomic comparaison']	['comparative genomics', 'functional annotation', 'genome analysis', 'variant analysis']	[]	4	0	4	1	[]	['comparative genomics', 'functional annotation', 'genome analysis', 'variant analysis']	['genomic comparaison']
Bedtools_annotate	operation	1	5	0	0	0.17	1.0	0.29	['genomic interval annotation']	['coverage fraction calculation', 'feature counting', 'genomic interval analysis', 'overlap calculation', 'strand-specific analysis']	[]	5	0	5	1	[]	['coverage fraction calculation', 'feature counting', 'genomic interval analysis', 'overlap calculation', 'strand-specific analysis']	['genomic interval annotation']
Bedtools_annotate	input data	3	0	0	0	1.0	1.0	1.0	['annotation tracks', 'genomic features', 'sequence variants']	[]	[]	3	3	0	0	['annotation tracks', 'genomic features', 'sequence variants']	[]	[]
