annotation,tools,tool_count
biochemistry education,Fluxer,1
clustering,SNF,1
co-occurrence networks,Cytoscape,1
community modeling,CarveMe,1
constraint-based modeling,COBRApy,1
data integration,Cytoscape,1
dimensionality reduction,MOFA2,1
disease gene prediction,RWR,1
disease subtyping,SNF,1
enrichment analysis,GSEA,1
factor analysis,MOFA2,1
flux balance analysis,COBRApy,1
functional annotation,GSEA,1
functional annotation of proteins,eggNOG-mapper,1
functional enrichment,String.db,1
functional genomics,"GSEA, eggNOG-mapper",2
functional module detection,RWR,1
genome-scale metabolic modeling,CarveMe,1
graph theory,Cytoscape,1
joint dimension reduction,MOFA2,1
metabolic flux analysis,Fluxer,1
metabolic modelling,"COBRApy, Fluxer",2
metabolic networks,"COBRApy, CarveMe",2
metabolic pathways,Cytoscape,1
metabolic reconstruction,"COBRApy, CarveMe",2
metagenomic annotation,eggNOG-mapper,1
microbiology,CarveMe,1
molecular interaction networks,Cytoscape,1
molecular signatures,GSEA,1
multi-layer networks,MULTIXRANK,1
multi-omics data integration,"MOFA2, SNF",2
network analysis,"MULTIXRANK, RWR, SNF",3
network biology,"Cytoscape, MULTIXRANK",2
network exploration,"Cytoscape, MULTIXRANK, RWR",3
network handling,Cytoscape,1
network integration,SNF,1
network propagation,RWR,1
network visualisation,Cytoscape,1
node prioritization,MULTIXRANK,1
orthology assignment,eggNOG-mapper,1
pathway analysis,GSEA,1
pathway visualization,Fluxer,1
patient stratification,SNF,1
prioritization analysis,RWR,1
protein function prediction,eggNOG-mapper,1
protein-protein interaction networks,String.db,1
protein-protein interactions,Cytoscape,1
systems biology,"COBRApy, CarveMe, Cytoscape, Fluxer, GSEA, String.db",6
visualization,Cytoscape,1
