tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
checkM2	topic	1	3	3	0	0.25	0.25	0.25	['metagenomics']	['binning evaluation', 'completeness and contamination estimation', 'genome quality assessment']	['sequence analysis', 'sequencing', 'taxonomic annotation']	4	1	3	0	['metagenomics']	['binning evaluation', 'completeness and contamination estimation', 'genome quality assessment']	[]
checkM2	operation	2	5	3	0	0.29	0.4	0.34	['genome completness', 'genome contamination']	['gene annotation', 'machine learning prediction (gradient boost', 'model selection based on taxonomic novelty', 'neural network)', 'protein similarity search']	['genome annotation', 'genome quality', 'taxonomic annotation']	5	0	5	2	[]	['gene annotation', 'machine learning prediction (gradient boost', 'model selection based on taxonomic novelty', 'neural network)', 'protein similarity search']	['genome completness', 'genome contamination']
checkM2	input data	0	4	1	0	0.0	0.0	0.0	[]	['isolate genomes', 'metagenome-assembled genomes (mags)', 'pre-computed protein gene files', 'single-amplified genomes (sags)']	['contigs']	4	0	4	0	[]	['isolate genomes', 'metagenome-assembled genomes (mags)', 'pre-computed protein gene files', 'single-amplified genomes (sags)']	[]
checkM2	output data	2	2	0	0	0.5	1.0	0.67	['quality annotation', 'taxonomic annotation']	['contamination)', 'genome quality metrics (completeness']	[]	2	0	2	2	[]	['contamination)', 'genome quality metrics (completeness']	['quality annotation', 'taxonomic annotation']
checkM2	input format	1	2	0	0	0.33	1.0	0.5	['fasta']	['gzipped fasta', 'protein files']	[]	3	1	2	0	['fasta']	['gzipped fasta', 'protein files']	[]
checkM2	output format	1	2	0	0	0.33	1.0	0.5	['tsv']	['standard output (stdout)', 'tab-delimited report']	[]	3	1	2	0	['tsv']	['standard output (stdout)', 'tab-delimited report']	[]
mOTUs	topic	3	3	2	0	0.5	0.6	0.55	['metagenomics', 'phylogeny', 'taxonomic profiling']	['marker gene analysis', 'metatranscriptomics', 'species-level quantification']	['sequence analysis', 'sequencing']	5	2	3	1	['metagenomics', 'taxonomic profiling']	['marker gene analysis', 'metatranscriptomics', 'species-level quantification']	['phylogeny']
mOTUs	operation	0	4	5	0	0.0	0.0	0.0	[]	['abundance estimation', 'clustering-based species delineation', 'mapping to marker genes', 'profile merging']	['abundance profiling', 'activity profiling', 'taxonomic annotation', 'visualization', 'workflow']	4	0	4	0	[]	['abundance estimation', 'clustering-based species delineation', 'mapping to marker genes', 'profile merging']	[]
mOTUs	input data	0	2	1	0	0.0	0.0	0.0	[]	['processed profile files', 'raw sequencing reads']	['sequencing reads']	2	0	2	0	[]	['processed profile files', 'raw sequencing reads']	[]
mOTUs	output data	0	2	2	0	0.0	0.0	0.0	[]	['relative abundance table', 'taxonomic abundance profile']	['abundance table', 'taxonomic annotation']	2	0	2	0	[]	['relative abundance table', 'taxonomic abundance profile']	[]
mOTUs	input format	1	1	0	0	0.5	1.0	0.67	['fastq']	['fasta']	[]	2	1	1	0	['fastq']	['fasta']	[]
mOTUs	output format	2	3	0	0	0.4	1.0	0.57	['bam', 'tsv']	['biom format', 'cami-compatible format', 'tab-delimited text']	[]	3	0	3	2	[]	['biom format', 'cami-compatible format', 'tab-delimited text']	['bam', 'tsv']
MetaBAT2	topic	1	2	3	0	0.33	0.25	0.28	['metagenomics']	['clustering', 'genome binning']	['genome reconstruction', 'sequence analysis', 'sequencing']	3	1	2	0	['metagenomics']	['clustering', 'genome binning']	[]
MetaBAT2	operation	2	2	0	0	0.5	1.0	0.67	['abundance and composition integration', 'binning']	['adaptive binning algorithm', 'graph-based clustering']	[]	4	2	2	0	['abundance and composition integration', 'binning']	['adaptive binning algorithm', 'graph-based clustering']	[]
MetaBAT2	input data	2	1	1	0	0.67	0.67	0.67	['contigs', 'tetranucleotide frequencies']	['coverage data across multiple samples']	['coverage profiles']	3	2	1	0	['contigs', 'tetranucleotide frequencies']	['coverage data across multiple samples']	[]
MetaBAT2	output data	0	2	4	0	0.0	0.0	0.0	[]	['genomic bins', 'metagenome-assembled genomes']	['abundance profiling', 'bins', 'co-abundance', 'metagenome assembled genomes mags']	2	0	2	0	[]	['genomic bins', 'metagenome-assembled genomes']	[]
MetaBAT2	input format	2	0	1	0	1.0	0.67	0.8	['bam', 'fasta']	[]	['tsv']	2	2	0	0	['bam', 'fasta']	[]	[]
MetaBAT2	output format	1	0	1	0	1.0	0.5	0.67	['fasta']	[]	['tsv']	1	1	0	0	['fasta']	[]	[]
CONCOCT	topic	1	2	2	0	0.33	0.33	0.33	['metagenomics']	['clustering', 'genome binning']	['binning', 'genome reconstruction']	3	1	2	0	['metagenomics']	['clustering', 'genome binning']	[]
CONCOCT	operation	0	4	1	0	0.0	0.0	0.0	[]	['clustering', 'integration of sequence composition and coverage', 'statistical modeling (gaussian mixture model)', 'unsupervised binning']	['binning']	4	0	4	0	[]	['clustering', 'integration of sequence composition and coverage', 'statistical modeling (gaussian mixture model)', 'unsupervised binning']	[]
CONCOCT	input data	1	2	1	0	0.33	0.5	0.4	['contigs']	['coverage profiles across multiple samples', 'tetranucleotide frequencies']	['coverage profiles']	3	1	2	0	['contigs']	['coverage profiles across multiple samples', 'tetranucleotide frequencies']	[]
CONCOCT	output data	1	2	1	0	0.33	0.5	0.4	['metagenome assembled genomes mags']	['cluster assignments', 'genomic bins']	['bins']	2	0	2	1	[]	['cluster assignments', 'genomic bins']	['metagenome assembled genomes mags']
CONCOCT	input format	2	1	0	0	0.67	1.0	0.8	['fasta', 'tsv']	['csv']	[]	3	2	1	0	['fasta', 'tsv']	['csv']	[]
CONCOCT	output format	1	1	1	0	0.5	0.5	0.5	['tsv']	['csv']	['fasta']	2	1	1	0	['tsv']	['csv']	[]
GTDB-Tk	topic	2	2	2	0	0.5	0.5	0.5	['phylogenomics', 'taxonomy']	['genome classification', 'microbiology']	['comparative genomics', 'metagenomics']	4	2	2	0	['phylogenomics', 'taxonomy']	['genome classification', 'microbiology']	[]
GTDB-Tk	operation	1	3	1	0	0.25	0.5	0.33	['taxonomic classification']	['phylogenetic placement', 'reference tree comparison', 'sequence alignment']	['phylogenetic inference']	4	1	3	0	['taxonomic classification']	['phylogenetic placement', 'reference tree comparison', 'sequence alignment']	[]
GTDB-Tk	input data	1	1	1	0	0.5	0.5	0.5	['genome']	['genomic sequences']	['metagenome']	1	0	1	1	[]	['genomic sequences']	['genome']
GTDB-Tk	output data	0	3	2	0	0.0	0.0	0.0	[]	['multiple sequence alignments', 'phylogenetic trees', 'taxonomic assignments']	['phylogenetic tree', 'taxonomic labels']	3	0	3	0	[]	['multiple sequence alignments', 'phylogenetic trees', 'taxonomic assignments']	[]
GTDB-Tk	input format	1	0	0	0	1.0	1.0	1.0	['fasta']	[]	[]	1	1	0	0	['fasta']	[]	[]
