tools	annotation	candidate EDAM term label	Validation expert	Commentaire expert 1	hasExactmatch	hasBroader	hasNarrower	 EDAM term URI	Comment
CellPose	annotation	Annotation	Yes		Yes	No	No	http://edamontology.org/operation_0226	
Big-FISH	cell segmentation	Image analysis	Yes	très très large... pas tres informatif. On peut aussi voir la segmentation comme une forme de clustering.	No	Yes	No	http://edamontology.org/operation_3443	
Big-FISH	cluster detection	Clustering	No	différent en concept: plutôt test statisqtique: ne clisrterise pas systématiquement, mais dtéecte si il y a des points qui pourraient etre considérées comme des clusters.	No	Yes	No	http://edamontology.org/operation_3432	
Big-FISH	colocalisation	Image analysis	Yes	A mettre en image analysis alors comme les autres.	No	Yes	No	http://edamontology.org/operation_3432	no matching operations, expert propose Image analysis
deconvolutionLab2	deconvolution	Image analysis	Yes		No	Yes	No	http://edamontology.org/operation_3443	no matching operations, expert propose Image analysis
EcClem	error estimation	Modelling and simulation	Yes	A mettre en image analysis comme tout le monde  :) ou en modelling and simulation.	No	Yes	No	http://edamontology.org/operation_2426	no matching operations, expert propose Modelling and simulation 
EcClem	fiducial list based registration	Structure alignment	Yes	Meme si je pense que alignement de structure est un peu consacré génétique? double sens?	No	Yes	No	http://edamontology.org/operation_0295	
CellPose	model training	Modelling and simulation	No	ou ajustement de parametres... ou IA si il y a?	No	Yes	No	http://edamontology.org/operation_2426	
Big-FISH	nucleus segmentation	Image analysis	Yes	même remarque que pour cell segmentation	No	Yes	No	http://edamontology.org/operation_3443	
deconvolutionLab2	point-spread function generation	Modelling and simulation	Yes	potentiellement Modelling and Simulation 	No	Yes	No	http://edamontology.org/operation_2426	no matching operations, expert propose Modelling and simulation 
Big-FISH, deconvolutionLab2	preprocessing	Image analysis	Yes	Image analys (ou image processining si ca existe)	No	Yes	No	http://edamontology.org/operation_3443	no matching operations, expert propose Image analysis
CellPose	segmentation 2d	Image analysis	Yes		No	Yes	No	http://edamontology.org/operation_3443	
CellPose	segmentation 3d	Image analysis	Yes		No	Yes	No	http://edamontology.org/operation_3443	
Big-FISH	spot detection	Image analysis	Yes		No	Yes	No	http://edamontology.org/operation_3443	
