tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	TP_annotations	FP_annotations	FN_annotations	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
Monocle3	topic	0	5	2	0	0.0	0.0	0.0	5	0	5	0	[]	['cell fate decisions', 'differential expression', 'pseudotime analysis', 'single-cell rna-seq', 'trajectory inference']	['cell trajectories inference', 'single-cell genomic']	[]	['cell fate decisions', 'differential expression', 'pseudotime analysis', 'single-cell rna-seq', 'trajectory inference']	[]
Monocle3	operation	0	5	7	0	0.0	0.0	0.0	5	0	5	0	[]	['branch analysis', 'cell ordering', 'differential expression testing', 'dimensionality reduction', 'graph learning']	['cell trajectories inference', 'clustering', 'differential expression over cell trajectory', 'normalization', 'quality control', 'reduction dimensions', 'visualisations']	[]	['branch analysis', 'cell ordering', 'differential expression testing', 'dimensionality reduction', 'graph learning']	[]
Monocle3	input data	1	2	1	0	0.33	0.5	0.4	3	1	2	0	['cell metadata']	['gene expression matrix', 'starting state information']	['expression matrices']	['cell metadata']	['gene expression matrix', 'starting state information']	[]
Monocle3	output data	4	0	2	0	1.0	0.67	0.8	4	4	0	0	['branch labels', 'differential expression results', 'pseudotime values', 'trajectory graph']	[]	['plots', 'trajectory tree']	['branch labels', 'differential expression results', 'pseudotime values', 'trajectory graph']	[]	[]
Monocle3	input format	1	2	2	0	0.33	0.33	0.33	3	1	2	0	['csv']	['10x genomics (mtx)', 'rds (celldataset)']	['bundle format (mtx)', 'tsv']	['csv']	['10x genomics (mtx)', 'rds (celldataset)']	[]
Monocle3	output format	4	0	3	0	1.0	0.57	0.73	4	4	0	0	['csv', 'pdf', 'png', 'rds']	[]	['jpeg', 'svg', 'tsv']	['csv', 'pdf', 'png', 'rds']	[]	[]
Scanpy	topic	1	5	1	0	0.17	0.5	0.25	6	1	5	0	['trajectory inference']	['clustering', 'differential expression', 'preprocessing', 'single-cell rna-seq', 'visualization']	['single-cell genomic']	['trajectory inference']	['clustering', 'differential expression', 'preprocessing', 'single-cell rna-seq', 'visualization']	[]
Scanpy	operation	5	1	4	0	0.83	0.56	0.67	6	5	1	0	['clustering', 'differential expression testing', 'dimensionality reduction', 'normalization', 'pseudotime analysis']	['data filtering']	['cell trajectory inference', 'data integration', 'quality controls', 'visualization']	['clustering', 'differential expression testing', 'dimensionality reduction', 'normalization', 'pseudotime analysis']	['data filtering']	[]
Scanpy	input data	2	2	6	0	0.5	0.25	0.33	2	0	2	2	['cell metadata', 'feature metadata']	['cell annotations', 'gene expression matrix']	['atacseq data', 'cite-seq', 'images', 'raw count matrix', 'scrna-seq data', 'spatial transcriptomic']	[]	['cell annotations', 'gene expression matrix']	['cell metadata', 'feature metadata']
Scanpy	output data	6	1	2	0	0.86	0.75	0.8	4	3	1	3	['cluster labels', 'differential expression results', 'processed expression matrix', 'pseudotime values', 'trajectory graph', 'trajectory tree']	['trajectory model']	['plots', 'table results']	['cluster labels', 'differential expression results', 'processed expression matrix']	['trajectory model']	['pseudotime values', 'trajectory graph', 'trajectory tree']
Scanpy	input format	3	3	3	0	0.5	0.5	0.5	5	2	3	1	['csv', 'h5ad', 'tsv']	['10x genomics (mtx', 'h5)', 'h5ad (anndata)']	['bundle format (mtx)', 'hdf5', 'tiff']	['csv', 'tsv']	['10x genomics (mtx', 'h5)', 'h5ad (anndata)']	['h5ad']
Scanpy	output format	3	2	5	0	0.6	0.38	0.47	3	1	2	2	['csv', 'h5ad', 'pdf']	['h5ad (anndata)', 'pdf/png (plots)']	['hdf5', 'jpeg', 'png', 'svg', 'tsv']	['csv']	['h5ad (anndata)', 'pdf/png (plots)']	['h5ad', 'pdf']
Seurat	topic	1	5	1	0	0.17	0.5	0.25	6	1	5	0	['spatial transcriptomics']	['clustering', 'differential expression', 'dimensionality reduction', 'multimodal integration', 'single-cell rna-seq']	['single-cell genomic']	['spatial transcriptomics']	['clustering', 'differential expression', 'dimensionality reduction', 'multimodal integration', 'single-cell rna-seq']	[]
Seurat	operation	4	2	3	0	0.67	0.57	0.62	6	4	2	0	['data integration', 'differential expression testing', 'dimensionality reduction', 'visualization']	['cell clustering', 'data normalization']	['clustering', 'normalization', 'quality controls']	['data integration', 'differential expression testing', 'dimensionality reduction', 'visualization']	['cell clustering', 'data normalization']	[]
Seurat	input data	2	1	6	0	0.67	0.25	0.36	3	2	1	0	['cell metadata', 'feature metadata']	['gene expression matrix']	['atacseq data', 'cite-seq', 'images', 'raw count matrix', 'scrna-seq data', 'spatial transcriptomic']	['cell metadata', 'feature metadata']	['gene expression matrix']	[]
Seurat	output data	2	3	3	0	0.4	0.4	0.4	4	1	3	1	['cell embeddings', 'cluster labels']	['differential expression markers', 'integrated embeddings', 'visualizations']	['expression matrix', 'plots', 'table results']	['cluster labels']	['differential expression markers', 'integrated embeddings', 'visualizations']	['cell embeddings']
Seurat	input format	2	3	3	0	0.4	0.4	0.4	5	2	3	0	['csv', 'hdf5']	['10x genomics (mtx', 'rds (seurat object)', 'tsv)']	['bundle format (mtx)', 'tiff', 'tsv']	['csv', 'hdf5']	['10x genomics (mtx', 'rds (seurat object)', 'tsv)']	[]
Seurat	output format	2	2	5	0	0.5	0.29	0.37	3	1	2	1	['csv', 'pdf']	['pdf/png (plots)', 'rds (seurat object)']	['jpeg', 'png', 'rds', 'svg', 'tsv']	['csv']	['pdf/png (plots)', 'rds (seurat object)']	['pdf']
