Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
Consensus expert LLM	STAR	RNA sequencing, Sequence alignment	Alignment of RNA sequencing to reference sequence (or genome), Read mapping	Raw sequencing reads, reference genome, Gene annotation	Alignment file	FASTQ, FASTA, GTF	SAM, BAM
Consensus expert	STAR	RNA sequencing, Sequence alignment	Alignment of RNA sequencing to reference sequence (or genome)	Read sequencing, Raw sequences, reference genome	Alignment file	FASTQ, FASTA, GTF	BAM, CRAM
proposition DeepSeek-V3.1	STAR	RNA-seq, Transcriptomics, Gene expression, Splicing analysis, Sequence alignment	Splice-aware alignment, Genome indexing, Read mapping, SAM/BAM file generation	Raw sequencing reads, Reference genome, Gene annotation	Aligned reads, Sorted alignments	FASTQ, FASTA, GTF	SAM, BAM
Consensus expert LLM	Canu	De novo assembly, Long read data processing	Read correction, Read trimming, Contig assembly	Raw long sequencing reads	Assembled contigs, Assembled scaffolds, Unassembled corrected reads	FASTQ, FASTA	FASTQ, FASTA, GFA
Consensus expert	Canu	Long read data processing, assemble genomes de novo	Correction of long reads, trimming of long reads, assembling of long read	raw reads	reads self-corrected, assembly	FASTQ, FASTA	FASTQ, FASTA
proposition DeepSeek-V3.1	Canu	Genome assembly, De novo assembly, Long-read sequencing, Genomics	Read correction, Read trimming, Contig assembly, Repeat separation, Tiling	Raw long sequencing reads	Assembled contigs, Assembled scaffolds, Unassembled reads	FASTQ, FASTA, BGZip	FASTA, GFA, TAB
Consensus expert LLM	deseq2	Differential gene expression, condition comparisons, RNA sequencing, RNA-seq	statistical differential gene expression detection, normalization of expression matrix	Expression matrix, Experimental design metadata	Normalize expression matrix, Differential expression results	DSV	DSV
Consensus expert	deseq2	Differential gene expression, condition comparisons, RNA sequencing	statistical differential gene expression detection, normalization of expression matrix	Expression matrix	Statistical tests of differential gene expression for each gene	tsv	tsv
proposition DeepSeek-V3.1	deseq2	RNA-seq, Transcriptomics, Differential expression, Gene expression analysis, Statistics	Statistical analysis, Count normalization, Dispersion estimation, Fold change calculation, Hypothesis testing, Shrinkage estimation	Gene count matrix, Experimental design metadata	Differential expression results, Normalized counts, Statistical test results	TXT, CSV, TSV, R data objects	TXT, CSV, TSV, R data objects, Graphics
Consensus expert LLM	Minimap2	DNA sequence aligner to reference sequences, RNA sequence aligner to reference sequences	Alignment of long reads to reference sequence (or genome)	reference genome, reference reads, raw reads	sequence alignment formats	FASTA, FASTQ, MMI	PAF, SAM
Consensus expert	Minimap2	DNA sequence aligner to reference sequences, RNA sequence aligner to reference sequences	Alignment of long reads to reference sequence (or genome)	reference genome, reference reads, raw reads	sequence alignment formats	FASTA, FASTQ, MMI	PAF, SAM
proposition DeepSeek-V3.1	Minimap2	Sequence alignment, Genomics, Long-read sequencing, Structural variation, Transcriptomics	Read mapping, Genome indexing, Sequence overlap detection, Alignment scoring, Splice-aware alignment	Query sequences, Reference genome	Aligned sequences, Read overlaps	FASTQ, FASTA	SAM, PAF
Consensus expert LLM	bwa	DNA sequencing, Sequence alignment	Alignment of DNA sequencing to reference sequence (or genome)	Short sequencing reads, Reference genome	Alignement file	FASTQ, FASTA	SAM
Consensus expert	bwa	DNA sequencing, Sequence alignment	Alignment of DNA sequencing to reference sequence (or genome)	Read sequencing, Raw sequence	Alignement file	FASTQ, FASTA	SAM, BAM, CRAM
proposition DeepSeek-V3.1	bwa	Sequence alignment, Genomics, DNA sequencing, Read mapping, Variant discovery	Genome indexing, Read alignment, BWA-MEM algorithm, Backtracking, SW algorithm	Short sequencing reads, Reference genome	Aligned reads	FASTQ, FASTA	SAM, BAM, CRAM
Consensus expert LLM	Samtools_index	DNA sequencing, Sequence alignment	indexing alignment file	alignment file	index alignment file	SAM, BAM, CRAM	BAI, CSI, CRAI
Consensus expert	Samtools_index	DNA sequencing, Sequence alignment	indexing alignment file	alignment file	index alignment file	SAM, BAM, CRAM	BAI, CSI, CRAI
