tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	TP_annotations	FP_annotations	FN_annotations	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
MOFA2	topic	2	3	2	0	0.4	0.5	0.44	5	2	3	0	['dimensionality reduction', 'factor analysis']	['multi-omics integration', 'personalized medicine', 'single-cell omics']	['joint dimension reduction', 'multi-omics data integration']	['dimensionality reduction', 'factor analysis']	['multi-omics integration', 'personalized medicine', 'single-cell omics']	[]
MOFA2	operation	0	6	6	0	0.0	0.0	0.0	6	0	6	0	[]	['dimensionality reduction', 'factor analysis', 'latent variable modeling', 'missing data handling', 'sparse learning', 'variational inference']	['bayesian inference', 'feature weights inspection', 'joint matrix factorisation', 'matrix factorization', 'reduction dimension', 'variance decomposition']	[]	['dimensionality reduction', 'factor analysis', 'latent variable modeling', 'missing data handling', 'sparse learning', 'variational inference']	[]
MOFA2	input data	0	1	2	0	0.0	0.0	0.0	1	0	1	0	[]	['multi-omics data']	['omics matrices', 'paired omics data']	[]	['multi-omics data']	[]
MOFA2	output data	1	3	1	0	0.25	0.5	0.33	4	1	3	0	['feature loadings']	['imputed data', 'latent factors', 'outlier detection']	['factors and latent spaces']	['feature loadings']	['imputed data', 'latent factors', 'outlier detection']	[]
MOFA2	input format	0	4	2	0	0.0	0.0	0.0	4	0	4	0	[]	['anndata', 'csv', 'hdf5', 'tsv']	['matrices', 'r vectors']	[]	['anndata', 'csv', 'hdf5', 'tsv']	[]
MOFA2	output format	1	4	2	0	0.2	0.33	0.25	5	1	4	0	['hdf5']	['csv', 'html', 'pdf', 'tsv']	['matrices', 'mofa object']	['hdf5']	['csv', 'html', 'pdf', 'tsv']	[]
COBRApy	topic	4	1	2	0	0.8	0.67	0.73	5	4	1	0	['constraint-based modeling', 'flux balance analysis', 'metabolic reconstruction', 'systems biology']	['metabolic engineering']	['metabolic modelling', 'metabolic networks']	['constraint-based modeling', 'flux balance analysis', 'metabolic reconstruction', 'systems biology']	['metabolic engineering']	[]
COBRApy	operation	6	0	1	0	1.0	0.86	0.92	5	5	0	1	['constraint-based simulations such as fba', 'flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation', 'optimization']	[]	['construction or modification of metabolic models']	['flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation', 'optimization']	[]	['constraint-based simulations such as fba']
COBRApy	input data	3	0	1	0	1.0	0.75	0.86	3	3	0	0	['constraints', 'metabolic model', 'objective functions']	[]	['metabolic network/model or nothing if created from scratch']	['constraints', 'metabolic model', 'objective functions']	[]	[]
COBRApy	output data	4	1	1	0	0.8	0.8	0.8	3	2	1	2	['flux distributions', 'metabolic model', 'metabolic network', 'optimization results']	['model annotations']	['results of simulations']	['flux distributions', 'optimization results']	['model annotations']	['metabolic model', 'metabolic network']
COBRApy	input format	3	0	1	0	1.0	0.75	0.86	3	3	0	0	['json', 'matlab', 'sbml']	[]	['yaml']	['json', 'matlab', 'sbml']	[]	[]
COBRApy	output format	1	3	3	0	0.25	0.25	0.25	4	1	3	0	['sbml']	['csv', 'python objects', 'tsv']	['json', 'matlab', 'yaml']	['sbml']	['csv', 'python objects', 'tsv']	[]
SNF	topic	3	2	3	0	0.6	0.5	0.55	5	3	2	0	['clustering', 'disease subtyping', 'patient stratification']	['multi-omics integration', 'precision medicine']	['multi-omics data integration', 'network analysis', 'network integration']	['clustering', 'disease subtyping', 'patient stratification']	['multi-omics integration', 'precision medicine']	[]
SNF	operation	4	3	3	0	0.57	0.57	0.57	5	2	3	2	['consensus network building', 'kernel-based integration', 'similarity matrices creation', 'similarity networks creation']	['affinity matrix construction', 'similarity network fusion', 'spectral clustering']	['clustering', 'fused sample network creation', 'networks fusion']	['consensus network building', 'kernel-based integration']	['affinity matrix construction', 'similarity network fusion', 'spectral clustering']	['similarity matrices creation', 'similarity networks creation']
SNF	input data	1	0	2	0	1.0	0.33	0.5	1	1	0	0	['multi-omics profiles']	[]	['clinical data', 'omics']	['multi-omics profiles']	[]	[]
SNF	output data	3	0	1	0	1.0	0.75	0.86	3	3	0	0	['fused networks', 'patient clusters', 'similarity matrices']	[]	['fused similarity matrix']	['fused networks', 'patient clusters', 'similarity matrices']	[]	[]
SNF	input format	3	0	0	0	1.0	1.0	1.0	3	3	0	0	['csv', 'matrix', 'tsv']	[]	[]	['csv', 'matrix', 'tsv']	[]	[]
SNF	output format	3	0	1	0	1.0	0.75	0.86	3	3	0	0	['csv', 'graph files', 'tsv']	[]	['matrix']	['csv', 'graph files', 'tsv']	[]	[]
eggNOG-mapper	topic	4	1	1	0	0.8	0.8	0.8	5	4	1	0	['functional genomics', 'metagenomic annotation', 'orthology assignment', 'protein function prediction']	['phylogenetics']	['functional annotation of proteins']	['functional genomics', 'metagenomic annotation', 'orthology assignment', 'protein function prediction']	['phylogenetics']	[]
eggNOG-mapper	operation	4	1	1	0	0.8	0.8	0.8	5	4	1	0	['domain prediction', 'hierarchical annotation', 'large-scale sequence analysis', 'orthology mapping']	['functional transfer']	['annotation of genes and proteins using multiple functional databases']	['domain prediction', 'hierarchical annotation', 'large-scale sequence analysis', 'orthology mapping']	['functional transfer']	[]
eggNOG-mapper	input data	3	0	1	0	1.0	0.75	0.86	3	3	0	0	['metagenomic contigs', 'nucleotide sequences', 'protein sequences']	[]	['gene sequences']	['metagenomic contigs', 'nucleotide sequences', 'protein sequences']	[]	[]
eggNOG-mapper	output data	3	0	1	0	1.0	0.75	0.86	3	3	0	0	['functional annotations', 'orthologous groups', 'taxonomic assignments']	[]	['table containing multiple annotations for each gene or protein']	['functional annotations', 'orthologous groups', 'taxonomic assignments']	[]	[]
eggNOG-mapper	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	0	['fasta', 'gzip']	[]	[]	['fasta', 'gzip']	[]	[]
eggNOG-mapper	output format	2	1	0	0	0.67	1.0	0.8	3	2	1	0	['json', 'tsv']	['html']	[]	['json', 'tsv']	['html']	[]
Cytoscape	topic	7	1	5	0	0.88	0.58	0.7	8	7	1	0	['co-occurrence networks', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'protein-protein interactions', 'systems biology', 'visualization']	['bioinformatics']	['data integration', 'graph theory', 'network exploration', 'network handling', 'network visualisation']	['co-occurrence networks', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'protein-protein interactions', 'systems biology', 'visualization']	['bioinformatics']	[]
Cytoscape	operation	5	3	5	0	0.62	0.5	0.55	8	5	3	0	['app-based extensibility', 'automation via scripting', 'cluster detection', 'data integration', 'network visualization']	['attribute-based mapping', 'graph analysis', 'pathway mapping']	['construction of networks', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration']	['app-based extensibility', 'automation via scripting', 'cluster detection', 'data integration', 'network visualization']	['attribute-based mapping', 'graph analysis', 'pathway mapping']	[]
