tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations	expert_total	expert_retained_in_consensus	expert_not_retained	expert_retained_annotations	expert_not_retained_annotations
checkM2	topic	4	3	0	0	0.57	1.0	0.73	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic annotation']	['dna-seq', 'ngs', 'short reads']	[]	7	4	3	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic annotation']	['dna-seq', 'ngs', 'short reads']
checkM2	operation	3	3	2	0	0.5	0.6	0.55	['genome annotation', 'genome quality', 'taxonomic annotation']	['completness', 'contamination', 'single-copy marker genes']	['genome completness', 'genome contamination']	6	3	3	['genome annotation', 'genome quality', 'taxonomic annotation']	['completness', 'contamination', 'single-copy marker genes']
checkM2	input data	1	0	0	0	1.0	1.0	1.0	['contigs']	[]	[]	1	1	0	['contigs']	[]
checkM2	output data	0	1	2	0	0.0	0.0	0.0	[]	['quality and taxonomic annotation']	['quality annotation', 'taxonomic annotation']	1	0	1	[]	['quality and taxonomic annotation']
checkM2	input format	1	0	0	0	1.0	1.0	1.0	['fasta']	[]	[]	1	1	0	['fasta']	[]
checkM2	output format	1	1	0	0	0.5	1.0	0.67	['tsv']	['text']	[]	1	0	1	[]	['text']
mOTUs	topic	4	3	1	0	0.57	0.8	0.67	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'short reads']	['phylogeny']	7	4	3	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'short reads']
mOTUs	operation	5	2	0	0	0.71	1.0	0.83	['abundance profiling', 'activity profiling', 'taxonomic annotation', 'visualization', 'workflow']	['phylogeny', 'single-copy marker genes']	[]	7	5	2	['abundance profiling', 'activity profiling', 'taxonomic annotation', 'visualization', 'workflow']	['phylogeny', 'single-copy marker genes']
mOTUs	input data	1	0	0	0	1.0	1.0	1.0	['sequencing reads']	[]	[]	1	1	0	['sequencing reads']	[]
mOTUs	output data	2	0	0	0	1.0	1.0	1.0	['abundance table', 'taxonomic annotation']	[]	[]	2	2	0	['abundance table', 'taxonomic annotation']	[]
mOTUs	input format	1	0	0	0	1.0	1.0	1.0	['fastq']	[]	[]	1	1	0	['fastq']	[]
mOTUs	output format	0	1	2	0	0.0	0.0	0.0	[]	['text']	['bam', 'tsv']	1	0	1	[]	['text']
MetaBAT2	topic	4	0	0	0	1.0	1.0	1.0	['genome reconstruction', 'metagenomics', 'sequence analysis', 'sequencing']	[]	[]	4	4	0	['genome reconstruction', 'metagenomics', 'sequence analysis', 'sequencing']	[]
MetaBAT2	operation	2	0	0	0	1.0	1.0	1.0	['abundance and composition integration', 'binning']	[]	[]	1	1	0	['binning']	[]
MetaBAT2	input data	3	0	0	0	1.0	1.0	1.0	['contigs', 'coverage profiles', 'tetranucleotide frequencies']	[]	[]	2	2	0	['contigs', 'coverage profiles']	[]
MetaBAT2	output data	4	0	0	0	1.0	1.0	1.0	['abundance profiling', 'bins', 'co-abundance', 'metagenome assembled genomes mags']	[]	[]	4	4	0	['abundance profiling', 'bins', 'co-abundance', 'metagenome assembled genomes mags']	[]
MetaBAT2	input format	3	0	0	0	1.0	1.0	1.0	['bam', 'fasta', 'tsv']	[]	[]	2	2	0	['fasta', 'tsv']	[]
MetaBAT2	output format	2	0	0	0	1.0	1.0	1.0	['fasta', 'tsv']	[]	[]	2	2	0	['fasta', 'tsv']	[]
CONCOCT	topic	3	0	0	0	1.0	1.0	1.0	['binning', 'genome reconstruction', 'metagenomics']	[]	[]	3	3	0	['binning', 'genome reconstruction', 'metagenomics']	[]
CONCOCT	operation	1	1	0	0	0.5	1.0	0.67	['binning']	['contig clustering']	[]	2	1	1	['binning']	['contig clustering']
CONCOCT	input data	2	0	0	0	1.0	1.0	1.0	['contigs', 'coverage profiles']	[]	[]	2	2	0	['contigs', 'coverage profiles']	[]
CONCOCT	output data	1	0	1	0	1.0	0.5	0.67	['bins']	[]	['metagenome assembled genomes mags']	1	1	0	['bins']	[]
CONCOCT	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'tsv']	[]	[]	2	2	0	['fasta', 'tsv']	[]
CONCOCT	output format	2	0	0	0	1.0	1.0	1.0	['fasta', 'tsv']	[]	[]	2	2	0	['fasta', 'tsv']	[]
GTDB-Tk	topic	4	0	0	0	1.0	1.0	1.0	['comparative genomics', 'metagenomics', 'phylogenomics', 'taxonomy']	[]	[]	4	4	0	['comparative genomics', 'metagenomics', 'phylogenomics', 'taxonomy']	[]
GTDB-Tk	operation	2	0	0	0	1.0	1.0	1.0	['phylogenetic inference', 'taxonomic classification']	[]	[]	2	2	0	['phylogenetic inference', 'taxonomic classification']	[]
GTDB-Tk	input data	1	0	1	0	1.0	0.5	0.67	['metagenome']	[]	['genome']	1	1	0	['metagenome']	[]
GTDB-Tk	output data	2	0	0	0	1.0	1.0	1.0	['phylogenetic tree', 'taxonomic labels']	[]	[]	2	2	0	['phylogenetic tree', 'taxonomic labels']	[]
GTDB-Tk	input format	1	0	0	0	1.0	1.0	1.0	['fasta']	[]	[]	1	1	0	['fasta']	[]
GTDB-Tk	output format	4	0	0	0	1.0	1.0	1.0	['fasta', 'json', 'newick', 'tsv']	[]	[]	4	4	0	['fasta', 'json', 'newick', 'tsv']	[]
Anvi’o	topic	3	0	0	0	1.0	1.0	1.0	['comparative genomics', 'functional genomics', 'metagenomics']	[]	[]	3	3	0	['comparative genomics', 'functional genomics', 'metagenomics']	[]
Anvi’o	operation	4	1	5	0	0.8	0.44	0.57	['assembly', 'functional annotation', 'interactive visualization', 'taxonomic profiling']	['binning']	['annotation edition', 'binning refinement', 'genomic refining', 'interactive edition', 'workflow']	5	4	1	['assembly', 'functional annotation', 'interactive visualization', 'taxonomic profiling']	['binning']
Anvi’o	input data	5	0	0	0	1.0	1.0	1.0	['contigs', 'functional annotations', 'raw sequence', 'sequence abundance profile', 'taxonomic profiles']	[]	[]	5	5	0	['contigs', 'functional annotations', 'raw sequence', 'sequence abundance profile', 'taxonomic profiles']	[]
Anvi’o	output data	4	0	3	0	1.0	0.57	0.73	['annotated contigs', 'bins', 'metabolic profiles', 'visualizations']	[]	['image', 'phylogenetic tree', 'tree']	4	4	0	['annotated contigs', 'bins', 'metabolic profiles', 'visualizations']	[]
Anvi’o	input format	5	0	0	0	1.0	1.0	1.0	['bam', 'fasta', 'fastq', 'json', 'tsv']	[]	[]	5	5	0	['bam', 'fasta', 'fastq', 'json', 'tsv']	[]
Anvi’o	output format	5	0	3	0	1.0	0.62	0.77	['fasta', 'html', 'json', 'newick', 'tsv']	[]	['jpeg', 'png', 'svg']	5	5	0	['fasta', 'html', 'json', 'newick', 'tsv']	[]
MEGAHIT	topic	6	0	0	0	1.0	1.0	1.0	['de novo assembly', 'metagenomics', 'sequence analysis', 'sequence assembly', 'sequencing', 'short reads']	[]	[]	5	5	0	['metagenomics', 'sequence analysis', 'sequence assembly', 'sequencing', 'short reads']	[]
MEGAHIT	operation	3	0	0	0	1.0	1.0	1.0	['bruijn graph', 'genome assemby', 'metagenomic assembly']	[]	[]	3	3	0	['bruijn graph', 'genome assemby', 'metagenomic assembly']	[]
MEGAHIT	input data	1	1	0	0	0.5	1.0	0.67	['sequencing reads']	['raw sequence']	[]	1	0	1	[]	['raw sequence']
MEGAHIT	output data	1	0	0	0	1.0	1.0	1.0	['contigs']	[]	[]	1	1	0	['contigs']	[]
MEGAHIT	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'fastq']	[]	[]	1	1	0	['fastq']	[]
MEGAHIT	output format	1	0	0	0	1.0	1.0	1.0	['fasta']	[]	[]	1	1	0	['fasta']	[]
Kraken2	topic	4	4	0	0	0.5	1.0	0.67	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'reference-based', 'short reads']	[]	8	4	4	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'reference-based', 'short reads']
Kraken2	operation	3	2	0	0	0.6	1.0	0.75	['abundance profiling', 'sequence classification', 'taxonomic annotation']	['exact matches', 'k-mer']	[]	5	3	2	['abundance profiling', 'sequence classification', 'taxonomic annotation']	['exact matches', 'k-mer']
Kraken2	input data	1	0	0	0	1.0	1.0	1.0	['sequencing reads']	[]	[]	1	1	0	['sequencing reads']	[]
Kraken2	output data	2	0	0	0	1.0	1.0	1.0	['abundance table', 'taxonomic annotation']	[]	[]	2	2	0	['abundance table', 'taxonomic annotation']	[]
Kraken2	input format	1	0	0	0	1.0	1.0	1.0	['fastq']	[]	[]	1	1	0	['fastq']	[]
Kraken2	output format	0	1	2	0	0.0	0.0	0.0	[]	['text']	['html', 'tsv']	1	0	1	[]	['text']
