tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
htseq-count	topic	2	1	0	0	0.67	1.0	0.8	2	1	1	['gene expression quantification', 'rna sequencing']	['gene expression']	[]	['rna sequencing']	['gene expression']
htseq-count	operation	1	0	0	0	1.0	1.0	1.0	1	1	0	['counting reads in features']	[]	[]	['counting reads in features']	[]
htseq-count	input data	2	0	0	0	1.0	1.0	1.0	1	1	0	['alignments sequence', 'gene annotation']	[]	[]	['alignments sequence']	[]
htseq-count	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['expression matrix']	[]	[]	['expression matrix']	[]
htseq-count	input format	4	1	0	0	0.8	1.0	0.89	2	1	1	['bam', 'gff', 'gtf', 'sam']	['cram']	[]	['bam']	['cram']
htseq-count	output format	1	0	0	0	1.0	1.0	1.0	1	1	0	['tsv']	[]	[]	['tsv']	[]
Bedtools_annotate	topic	0	1	1	0	0.0	0.0	0.0	1	0	1	[]	['annotation of genome regions']	['genomic comparaison']	[]	['annotation of genome regions']
Bedtools_annotate	operation	0	1	1	0	0.0	0.0	0.0	1	0	1	[]	['annotate']	['genomic interval annotation']	[]	['annotate']
Bedtools_annotate	input data	3	2	0	0	0.6	1.0	0.75	2	0	2	['annotation tracks', 'genomic features', 'sequence variants']	['catalog variant', 'genomic feature']	[]	[]	['catalog variant', 'genomic feature']
Bedtools_annotate	output data	2	2	0	0	0.5	1.0	0.67	2	0	2	['annotated intervals', 'coverage statistics']	['coverage annotated file', 'overlap annotated file']	[]	[]	['coverage annotated file', 'overlap annotated file']
Bedtools_annotate	input format	3	0	0	0	1.0	1.0	1.0	3	3	0	['bed', 'gff', 'vcf']	[]	[]	['bed', 'gff', 'vcf']	[]
Bedtools_annotate	output format	3	0	0	0	1.0	1.0	1.0	3	3	0	['bed', 'gff', 'vcf']	[]	[]	['bed', 'gff', 'vcf']	[]
Sniffles2	topic	1	0	0	0	1.0	1.0	1.0	1	1	0	['detection of structural variants']	[]	[]	['detection of structural variants']	[]
Sniffles2	operation	1	1	0	0	0.5	1.0	0.67	2	1	1	['detection of structural variants from long reads']	['detection of mosaic variants']	[]	['detection of structural variants from long reads']	['detection of mosaic variants']
Sniffles2	input data	2	0	0	0	1.0	1.0	1.0	1	1	0	['alignment file', 'reference genome']	[]	[]	['alignment file']	[]
Sniffles2	output data	0	1	1	0	0.0	0.0	0.0	1	0	1	[]	['catalog structural variants']	['structural sequence variants']	[]	['catalog structural variants']
Sniffles2	input format	3	0	0	0	1.0	1.0	1.0	3	3	0	['bam', 'bed', 'fasta']	[]	[]	['bam', 'bed', 'fasta']	[]
Sniffles2	output format	2	0	0	0	1.0	1.0	1.0	2	2	0	['snf', 'vcf']	[]	[]	['snf', 'vcf']	[]
STAR	topic	2	0	0	0	1.0	1.0	1.0	2	2	0	['rna sequencing', 'sequence alignment']	[]	[]	['rna sequencing', 'sequence alignment']	[]
STAR	operation	2	0	0	0	1.0	1.0	1.0	1	1	0	['alignment of rna sequencing to reference sequence (or genome)', 'read mapping']	[]	[]	['alignment of rna sequencing to reference sequence (or genome)']	[]
STAR	input data	3	2	0	0	0.6	1.0	0.75	3	1	2	['gene annotation', 'raw sequencing reads', 'reference genome']	['raw sequences', 'read sequencing']	[]	['reference genome']	['raw sequences', 'read sequencing']
STAR	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['alignment file']	[]	[]	['alignment file']	[]
STAR	input format	3	0	0	0	1.0	1.0	1.0	3	3	0	['fasta', 'fastq', 'gtf']	[]	[]	['fasta', 'fastq', 'gtf']	[]
STAR	output format	2	1	0	0	0.67	1.0	0.8	2	1	1	['bam', 'sam']	['cram']	[]	['bam']	['cram']
Canu	topic	2	1	0	0	0.67	1.0	0.8	2	1	1	['de novo assembly', 'long read data processing']	['assemble genomes de novo']	[]	['long read data processing']	['assemble genomes de novo']
Canu	operation	3	3	0	0	0.5	1.0	0.67	3	0	3	['contig assembly', 'read correction', 'read trimming']	['assembling of long read', 'correction of long reads', 'trimming of long reads']	[]	[]	['assembling of long read', 'correction of long reads', 'trimming of long reads']
Canu	input data	1	1	0	0	0.5	1.0	0.67	1	0	1	['raw long sequencing reads']	['raw reads']	[]	[]	['raw reads']
Canu	output data	2	2	1	0	0.5	0.67	0.57	2	0	2	['assembled contigs', 'assembled scaffolds']	['assembly', 'reads self-corrected']	['unassembled corrected reads']	[]	['assembly', 'reads self-corrected']
Canu	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['fasta', 'fastq']	[]	[]	['fasta', 'fastq']	[]
Canu	output format	3	0	0	0	1.0	1.0	1.0	2	2	0	['fasta', 'fastq', 'gfa']	[]	[]	['fasta', 'fastq']	[]
ClusterProfiler	topic	3	2	0	0	0.6	1.0	0.75	5	3	2	['clustering', 'enrichment analysis for omics data', 'visualization of enrichment data']	['annotation', 'ontology']	[]	['clustering', 'enrichment analysis for omics data', 'visualization of enrichment data']	['annotation', 'ontology']
ClusterProfiler	operation	6	0	0	0	1.0	1.0	1.0	4	4	0	['biological theme comparison', 'data visualization', 'gene set enrichment analysis', 'id conversion', 'over-representation analysis', 'semantic similarity analysis']	[]	[]	['biological theme comparison', 'gene set enrichment analysis', 'over-representation analysis', 'semantic similarity analysis']	[]
ClusterProfiler	input data	1	1	2	0	0.5	0.33	0.4	1	0	1	['gene lists']	['lists of differentially expressed genes']	['differential expression results', 'ontology datasets']	[]	['lists of differentially expressed genes']
ClusterProfiler	output data	2	3	0	0	0.4	1.0	0.57	3	0	3	['enrichment results', 'visualizations']	['annotation', 'plots', 'reports of enrichment']	[]	[]	['annotation', 'plots', 'reports of enrichment']
ClusterProfiler	input format	0	1	1	0	0.0	0.0	0.0	1	0	1	[]	['tsv']	['dsv']	[]	['tsv']
ClusterProfiler	output format	0	3	2	0	0.0	0.0	0.0	3	0	3	[]	['jpeg', 'png', 'tsv']	['dsv', 'image format']	[]	['jpeg', 'png', 'tsv']
bwa	topic	2	0	0	0	1.0	1.0	1.0	2	2	0	['dna sequencing', 'sequence alignment']	[]	[]	['dna sequencing', 'sequence alignment']	[]
bwa	operation	1	0	0	0	1.0	1.0	1.0	1	1	0	['alignment of dna sequencing to reference sequence (or genome)']	[]	[]	['alignment of dna sequencing to reference sequence (or genome)']	[]
bwa	input data	2	2	0	0	0.5	1.0	0.67	2	0	2	['reference genome', 'short sequencing reads']	['raw sequence', 'read sequencing']	[]	[]	['raw sequence', 'read sequencing']
bwa	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['alignment file']	[]	[]	['alignment file']	[]
bwa	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['fasta', 'fastq']	[]	[]	['fasta', 'fastq']	[]
bwa	output format	1	2	0	0	0.33	1.0	0.5	3	1	2	['sam']	['bam', 'cram']	[]	['sam']	['bam', 'cram']
Minimap2	topic	2	0	0	0	1.0	1.0	1.0	2	2	0	['dna sequence aligner to reference sequences', 'rna sequence aligner to reference sequences']	[]	[]	['dna sequence aligner to reference sequences', 'rna sequence aligner to reference sequences']	[]
Minimap2	operation	1	0	0	0	1.0	1.0	1.0	1	1	0	['alignment of long reads to reference sequence (or genome)']	[]	[]	['alignment of long reads to reference sequence (or genome)']	[]
Minimap2	input data	3	0	0	0	1.0	1.0	1.0	3	3	0	['raw reads', 'reference genome', 'reference reads']	[]	[]	['raw reads', 'reference genome', 'reference reads']	[]
Minimap2	output data	1	0	0	0	1.0	1.0	1.0	1	1	0	['sequence alignment formats']	[]	[]	['sequence alignment formats']	[]
Minimap2	input format	3	0	0	0	1.0	1.0	1.0	3	3	0	['fasta', 'fastq', 'mmi']	[]	[]	['fasta', 'fastq', 'mmi']	[]
Minimap2	output format	2	0	0	0	1.0	1.0	1.0	2	2	0	['paf', 'sam']	[]	[]	['paf', 'sam']	[]
deseq2	topic	4	0	0	0	1.0	1.0	1.0	3	3	0	['condition comparisons', 'differential gene expression', 'rna sequencing', 'rna-seq']	[]	[]	['condition comparisons', 'differential gene expression', 'rna sequencing']	[]
deseq2	operation	2	0	0	0	1.0	1.0	1.0	2	2	0	['normalization of expression matrix', 'statistical differential gene expression detection']	[]	[]	['normalization of expression matrix', 'statistical differential gene expression detection']	[]
deseq2	input data	2	0	0	0	1.0	1.0	1.0	1	1	0	['experimental design metadata', 'expression matrix']	[]	[]	['expression matrix']	[]
deseq2	output data	1	1	1	0	0.5	0.5	0.5	1	0	1	['differential expression results']	['statistical tests of differential gene expression for each gene']	['normalize expression matrix']	[]	['statistical tests of differential gene expression for each gene']
deseq2	input format	0	1	1	0	0.0	0.0	0.0	1	0	1	[]	['tsv']	['dsv']	[]	['tsv']
deseq2	output format	0	1	1	0	0.0	0.0	0.0	1	0	1	[]	['tsv']	['dsv']	[]	['tsv']
Samtools_index	topic	2	0	0	0	1.0	1.0	1.0	2	2	0	['dna sequencing', 'sequence alignment']	[]	[]	['dna sequencing', 'sequence alignment']	[]
Samtools_index	operation	1	0	0	0	1.0	1.0	1.0	1	1	0	['indexing alignment file']	[]	[]	['indexing alignment file']	[]
Samtools_index	input data	1	0	0	0	1.0	1.0	1.0	1	1	0	['alignment file']	[]	[]	['alignment file']	[]
