tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
Kraken2	topic	4	4	0	0	0.5	1.0	0.67	8	4	4	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'reference-based', 'short reads']	[]	['metagenomics', 'sequence analysis', 'sequencing', 'taxonomic profiling']	['dna-seq', 'ngs', 'reference-based', 'short reads']
Kraken2	operation	3	2	0	0	0.6	1.0	0.75	5	3	2	['abundance profiling', 'sequence classification', 'taxonomic annotation']	['exact matches', 'k-mer']	[]	['abundance profiling', 'sequence classification', 'taxonomic annotation']	['exact matches', 'k-mer']
Kraken2	input data	1	0	0	0	1.0	1.0	1.0	1	1	0	['sequencing reads']	[]	[]	['sequencing reads']	[]
Kraken2	output data	2	0	0	0	1.0	1.0	1.0	2	2	0	['abundance table', 'taxonomic annotation']	[]	[]	['abundance table', 'taxonomic annotation']	[]
Kraken2	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['fastq']	[]	[]	['fastq']	[]
Kraken2	output format	0	1	2	0	0.0	0.0	0.0	1	0	1	[]	['text']	['html', 'tsv']	[]	['text']
GTDB-Tk	topic	4	0	0	0	1.0	1.0	1.0	4	4	0	['comparative genomics', 'metagenomics', 'phylogenomics', 'taxonomy']	[]	[]	['comparative genomics', 'metagenomics', 'phylogenomics', 'taxonomy']	[]
GTDB-Tk	operation	2	0	0	0	1.0	1.0	1.0	2	2	0	['phylogenetic inference', 'taxonomic classification']	[]	[]	['phylogenetic inference', 'taxonomic classification']	[]
GTDB-Tk	input data	1	0	1	0	1.0	0.5	0.67	1	1	0	['metagenome']	[]	['genome']	['metagenome']	[]
GTDB-Tk	output data	2	0	0	0	1.0	1.0	1.0	2	2	0	['phylogenetic tree', 'taxonomic labels']	[]	[]	['phylogenetic tree', 'taxonomic labels']	[]
GTDB-Tk	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['fasta']	[]	[]	['fasta']	[]
GTDB-Tk	output format	4	0	0	0	1.0	1.0	1.0	4	4	0	['fasta', 'json', 'newick', 'tsv']	[]	[]	['fasta', 'json', 'newick', 'tsv']	[]
CONCOCT	topic	3	0	0	0	1.0	1.0	1.0	3	3	0	['binning', 'genome reconstruction', 'metagenomics']	[]	[]	['binning', 'genome reconstruction', 'metagenomics']	[]
CONCOCT	operation	1	1	0	0	0.5	1.0	0.67	2	1	1	['binning']	['contig clustering']	[]	['binning']	['contig clustering']
CONCOCT	input data	2	0	0	0	1.0	1.0	1.0	2	2	0	['contigs', 'coverage profiles']	[]	[]	['contigs', 'coverage profiles']	[]
CONCOCT	output data	1	0	1	0	1.0	0.5	0.67	1	1	0	['bins']	[]	['metagenome assembled genomes mags']	['bins']	[]
CONCOCT	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['fasta', 'tsv']	[]	[]	['fasta', 'tsv']	[]
CONCOCT	output format	2	0	0	0	1.0	1.0	1.0	2	2	0	['fasta', 'tsv']	[]	[]	['fasta', 'tsv']	[]
Anvi’o	topic	3	0	0	0	1.0	1.0	1.0	3	3	0	['comparative genomics', 'functional genomics', 'metagenomics']	[]	[]	['comparative genomics', 'functional genomics', 'metagenomics']	[]
Anvi’o	operation	4	1	5	0	0.8	0.44	0.57	5	4	1	['assembly', 'functional annotation', 'interactive visualization', 'taxonomic profiling']	['binning']	['annotation edition', 'binning refinement', 'genomic refining', 'interactive edition', 'workflow']	['assembly', 'functional annotation', 'interactive visualization', 'taxonomic profiling']	['binning']
Anvi’o	input data	5	0	0	0	1.0	1.0	1.0	5	5	0	['contigs', 'functional annotations', 'raw sequence', 'sequence abundance profile', 'taxonomic profiles']	[]	[]	['contigs', 'functional annotations', 'raw sequence', 'sequence abundance profile', 'taxonomic profiles']	[]
Anvi’o	output data	4	0	3	0	1.0	0.57	0.73	4	4	0	['annotated contigs', 'bins', 'metabolic profiles', 'visualizations']	[]	['image', 'phylogenetic tree', 'tree']	['annotated contigs', 'bins', 'metabolic profiles', 'visualizations']	[]
Anvi’o	input format	5	0	0	0	1.0	1.0	1.0	5	5	0	['bam', 'fasta', 'fastq', 'json', 'tsv']	[]	[]	['bam', 'fasta', 'fastq', 'json', 'tsv']	[]
Anvi’o	output format	5	0	3	0	1.0	0.62	0.77	5	5	0	['fasta', 'html', 'json', 'newick', 'tsv']	[]	['jpeg', 'png', 'svg']	['fasta', 'html', 'json', 'newick', 'tsv']	[]
