tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	TP_annotations	FP_annotations	FN_annotations	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
Kraken2	topic	1	4	3	0	0.2	0.25	0.22	5	1	4	0	['metagenomics']	['microbiome analysis', 'phylogenetics', 'taxonomic classification', 'viral metagenomics']	['sequence analysis', 'sequencing', 'taxonomic profiling']	['metagenomics']	['microbiome analysis', 'phylogenetics', 'taxonomic classification', 'viral metagenomics']	[]
Kraken2	operation	0	6	3	0	0.0	0.0	0.0	6	0	6	0	[]	['k-mer matching', 'lowest common ancestor (lca) assignment', 'minimizer indexing', 'probabilistic hashing', 'spaced seeds', 'translated search']	['abundance profiling', 'sequence classification', 'taxonomic annotation']	[]	['k-mer matching', 'lowest common ancestor (lca) assignment', 'minimizer indexing', 'probabilistic hashing', 'spaced seeds', 'translated search']	[]
Kraken2	input data	0	3	1	0	0.0	0.0	0.0	3	0	3	0	[]	['amino acid sequences', 'nucleotide sequences', 'raw sequencing reads']	['sequencing reads']	[]	['amino acid sequences', 'nucleotide sequences', 'raw sequencing reads']	[]
Kraken2	output data	0	2	2	0	0.0	0.0	0.0	2	0	2	0	[]	['classification report', 'taxonomic labels for reads']	['abundance table', 'taxonomic annotation']	[]	['classification report', 'taxonomic labels for reads']	[]
Kraken2	input format	1	1	0	0	0.5	1.0	0.67	2	1	1	0	['fastq']	['fasta']	[]	['fastq']	['fasta']	[]
Kraken2	output format	2	3	0	0	0.4	1.0	0.57	3	0	3	2	['html', 'tsv']	['biom', 'pavian-compatible format', 'standard text report']	[]	[]	['biom', 'pavian-compatible format', 'standard text report']	['html', 'tsv']
GTDB-Tk	topic	2	2	2	0	0.5	0.5	0.5	4	2	2	0	['phylogenomics', 'taxonomy']	['genome classification', 'microbiology']	['comparative genomics', 'metagenomics']	['phylogenomics', 'taxonomy']	['genome classification', 'microbiology']	[]
GTDB-Tk	operation	1	3	1	0	0.25	0.5	0.33	4	1	3	0	['taxonomic classification']	['phylogenetic placement', 'reference tree comparison', 'sequence alignment']	['phylogenetic inference']	['taxonomic classification']	['phylogenetic placement', 'reference tree comparison', 'sequence alignment']	[]
GTDB-Tk	input data	1	1	1	0	0.5	0.5	0.5	1	0	1	1	['genome']	['genomic sequences']	['metagenome']	[]	['genomic sequences']	['genome']
GTDB-Tk	output data	0	3	2	0	0.0	0.0	0.0	3	0	3	0	[]	['multiple sequence alignments', 'phylogenetic trees', 'taxonomic assignments']	['phylogenetic tree', 'taxonomic labels']	[]	['multiple sequence alignments', 'phylogenetic trees', 'taxonomic assignments']	[]
GTDB-Tk	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	0	['fasta']	[]	[]	['fasta']	[]	[]
GTDB-Tk	output format	3	0	1	0	1.0	0.75	0.86	3	3	0	0	['fasta', 'newick', 'tsv']	[]	['json']	['fasta', 'newick', 'tsv']	[]	[]
CONCOCT	topic	1	2	2	0	0.33	0.33	0.33	3	1	2	0	['metagenomics']	['clustering', 'genome binning']	['binning', 'genome reconstruction']	['metagenomics']	['clustering', 'genome binning']	[]
CONCOCT	operation	0	4	1	0	0.0	0.0	0.0	4	0	4	0	[]	['clustering', 'integration of sequence composition and coverage', 'statistical modeling (gaussian mixture model)', 'unsupervised binning']	['binning']	[]	['clustering', 'integration of sequence composition and coverage', 'statistical modeling (gaussian mixture model)', 'unsupervised binning']	[]
CONCOCT	input data	1	2	1	0	0.33	0.5	0.4	3	1	2	0	['contigs']	['coverage profiles across multiple samples', 'tetranucleotide frequencies']	['coverage profiles']	['contigs']	['coverage profiles across multiple samples', 'tetranucleotide frequencies']	[]
CONCOCT	output data	1	2	1	0	0.33	0.5	0.4	2	0	2	1	['metagenome assembled genomes mags']	['cluster assignments', 'genomic bins']	['bins']	[]	['cluster assignments', 'genomic bins']	['metagenome assembled genomes mags']
