Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
Consensus expert LLM	MAFFT	multiple-sequence alignment (MSA), phylogenetics, molecular evolution, sequence annotation, Sequence Analysis, Comparative Genomics	global multiple sequence alignment, progressive alignment, FFT	multiple-sequence file	multiple-sequence alignment file	FASTA	FASTA, CLUSTAL, .tree
Consensus expert	MAFFT	multiple-sequence alignment (MSA), phylogenetics, molecular evolution, sequence annotation	global multiple sequence alignment	multiple-sequence file	multiple-sequence alignment file	FASTA	FASTA
proposition expert	MAFFT	multiple-sequence alignment (MSA), phylogenetics, molecular evolution, sequence annotation	global multiple sequence alignment	multiple-sequence file	multiple-sequence alignment file	FASTA	FASTA
proposition expert 1	MAFFT	phylogenetics	multiple sequence alignment	"protein unaligned sequences
nucleotide unaligned sequences"	multiple sequence alignment	fasta	fasta
proposition DeepSeek-V3.1	MAFFT	Multiple Sequence Alignment, Bioinformatics, Sequence Analysis, Comparative Genomics	Progressive alignment, Iterative refinement, Fast Fourier transform, Consistency scoring, Structural alignment	Unaligned nucleotide or protein sequences	Multiple sequence alignment, Alignment accuracy scores	FASTA	FASTA, CLUSTAL, PHYLIP, NEXUS 
Consensus expert LLM	PhyML 	phylogenetics, Likelihood-based phylogenetics, Molecular evolution 	tree inference, Maximum-Likelihood tree inference 	multiple sequence alignment, sequence evolution model 	Phylogeny trees with support values 	PHYLIP 	Newick 
Consensus expert	PhyML	phylogenetics, Likelihood-based phylogenetics  	tree inference, Maximum-Likelihood tree reconstruction	multiple sequence alignment, sequence evolution model 	Phylogeny trees with support values	PHYLIP	Newick
proposition expert	PhyML	phylogenetics, Likelihood-based phylogenetics  	tree inference, Maximum-Likelihood tree reconstruction	multiple sequence alignment, sequence evolution model 	Phylogeny trees with support values	PHYLIP	Newick
proposition expert 1	PhyML	Maximum likelihood phylogeny	ML tree reconstruction with support (bootstrap, SH-like)	Alignment of sequence multiples (DNA, protein) and evolutionary model	Phylogeny trees with support values	PHYLIP, FASTA	Newick
proposition DeepSeek-V3.1	PhyML	Phylogenetics, Molecular evolution, Maximum likelihood, Tree inference	Maximum likelihood estimation, Tree search, Model selection, Statistical calculation, Branch length optimization 	Multiple sequence alignment, Genetic sequences	Phylogenetic tree, Statistical support values, Log file 	PHYLIP, FASTA	Newick, PDF (via companion scripts)
Consensus expert LLM	FastME	Phylogenetics, Distanced-based phylogenetics	Tree inference, minimum evolution (ME), topological optimization, distance matrix computation 	multiple sequences alignment MSA, Distance matrix, substitution model,  	Phylogenetic trees with support values, distance matrix	PHYLIP, Newick	PHYLIP, Newick
Consensus expert	FastME	Phylogenetics, Distanced-based phylogenetics	Tree inference, topological optimization, distance matrix computation	multiple sequences alignment MSA, Distance matrix, substitution model 	Phylogenetic trees with support values, distance matrix	PHYLIP, Newick	PHYLIP, Newick 
proposition expert	FastME	Phylogenetics, Distanced-based phylogenetics	Tree inference, topological optimization, distance matrix computation	multiple sequences alignment MSA, Distance matrix, substitution model 	Phylogenetic trees with support values, distance matrix	PHYLIP, Newick	PHYLIP, Newick 
proposition DeepSeek-V3.1	FastME	Phylogeny inference, Distance-based tree reconstruction, Balanced minimum evolution, Whole-genome phylogeny	Distance matrix calculation, Topological moves (Nearest Neighbor Interchange, Subtree Pruning and Regrafting), Bootstrapping, Parallel computations	Molecular sequences (DNA, proteins), Distance matrices	Phylogenetic trees, Bootstrap support values	Sequence alignments (e.g., FASTA), Distance matrices	Newick
