Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
Consensus expert LLM	CarveMe	Metabolic networks, Systems biology, Genome-scale metabolic modeling, Metabolic reconstruction, Microbiology, Community modeling	Reconstruction of metabolic networks, gap-filling of metabolic models, Automated model reconstruction, Draft model generation, Gap-filling	protein sequences, gene sequences, Genome annotations, Taxonomic information	metabolic model, Genome-scale metabolic models, Metabolic networks	FASTA, SBML	SBML, JSON, YAML, MATLAB
Consensus expert	CarveMe	Metabolic modelling, metabolic networks, Systems biology, metabolic modeling	Reconstruction of metabolic networks, gap-filling of metabolic models.	protein sequences, gene sequences	metabolic model	FASTA, SBML	SBML, JSON, YAML, MATLAB
proposition expert	CarveMe	Metabolic modelling, metabolic networks, Systems biology, metabolic modeling	Reconstruction of metabolic networks, gap-filling of metabolic models.	protein sequences, gene sequences	metabolic model	FASTA, SBML	SBML, JSON, YAML, MATLAB
proposition DeepSeek-V3.1	CarveMe	Genome-scale metabolic modeling, Metabolic reconstruction, Bioinformatics, Microbiology, Community modeling	Automated model reconstruction, Draft model generation, Gap-filling, Curation of reaction networks, Integration of annotation data	Genome annotations, protein sequences, Taxonomic information, Reaction databases	Genome-scale metabolic models, Reaction lists, Metabolic networks	FASTA, JSON, XML	SBML, JSON
Consensus expert LLM	COBRApy	Metabolic modelling, metabolic networks, Systems biology, Constraint-based modeling, Metabolic reconstruction, Flux balance analysis	Construction or modification of metabolic models, constraint-based simulations such as FBA, Metabolic network simulation, Optimization, Gene deletion analysis, Flux variability analysis, Model parsing and manipulation	metabolic network/model or nothing if created from scratch, Metabolic model, Constraints, Objective functions	metabolic network, metabolic model, results of simulations, Flux distributions, Optimization results	SBML, JSON, YAML, MATLAB	 SBML, JSON, YAML, MATLAB
Consensus expert	COBRApy	Metabolic modelling, metabolic networks, Systems biology	Construction or modification of metabolic models, constraint-based simulations such as FBA.	metabolic network/model or nothing if created from scratch	metabolic network/model, results of simulations	SBML, JSON, YAML, MATLAB	 SBML, JSON, YAML, MATLAB, Text-based reports , Python objects
proposition expert	COBRApy	Metabolic modelling, metabolic networks, Systems biology, metabolic modeling	Construction or modification of metabolic models, constraint-based simulations such as FBA.	metabolic network/model or nothing if created from scratch	metabolic network/model, results of simulations	SBML, JSON, YAML, MATLAB	SBML, JSON, YAML, MATLAB
proposition DeepSeek-V3.1	COBRApy	Constraint-based modeling, Metabolic reconstruction, Flux balance analysis, Systems biology, Metabolic engineering	Metabolic network simulation, Optimization, Gene deletion analysis, Flux variability analysis, Model parsing and manipulation	Metabolic model, Constraints, Objective functions	Flux distributions, Optimization results, Model annotations 	SBML, JSON, MATLAB	CSV, TSV, Python objects, SBML
Consensus expert LLM	Cytoscape	Network biology, Systems biology, Visualization, Molecular interaction networks, Protein-protein interactions, Metabolic pathways, Co-occurrence networks, Network visualisation, Network handling, data integration, Network exploration, Graph theory	Construction of networks, edition of networks, Network visualization, Network exploration, graph metrics, graph topology, App-based extensibility, Automation via scripting, Data integration, Cluster detection	network, node Attribute, edge Attribute, list of nodes and edges	network, images, metrics, analysis report	SIF, GML, SBML, BioPAX, GraphML, XLS, TSV, CSV, XGMML	SIF, HTML, cys, sif, pdf, PNG, SVG, JPEG
Consensus expert	Cytoscape	Network visualisation, Network handling, data integration, Network exploration, Graph theory	Construction of networks, edition of networks, Network visualization, Network exploration, graph metrics, graph topology	network,  node metadata, edge metadata, list of nodes and edges	network, pictures, metrics, analysis report	SIF, GML, SBML, BioPAX, GraphML, XLS, TSV, Txt	SIF, HTML, cys, TEXT, sif, txt, pdf, PNG, SVG, JPEG
