io_type,annotation,tools,tool_count
Input,biological networks,RWR,1
Input,clinical data,SNF,1
Input,constraints,COBRApy,1
Input,edge attribute,Cytoscape,1
Input,edge weights,"MULTIXRANK, RWR",2
Input,gene expression matrix,GSEA,1
Input,gene name,String.db,1
Input,gene sequences,"CarveMe, eggNOG-mapper",2
Input,gene sets,GSEA,1
Input,genome annotations,CarveMe,1
Input,heterogeneous networks,MULTIXRANK,1
Input,list of nodes and edges,Cytoscape,1
Input,metabolic model,"COBRApy, Fluxer",2
Input,metabolic network/model or nothing if created from scratch,COBRApy,1
Input,metagenomic contigs,eggNOG-mapper,1
Input,multi-layer network graphs,MULTIXRANK,1
Input,multi-omics profiles,SNF,1
Input,network,"Cytoscape, RWR",2
Input,network and seed,MULTIXRANK,1
Input,node attribute,Cytoscape,1
Input,nucleotide sequences,eggNOG-mapper,1
Input,objective functions,COBRApy,1
Input,omics,SNF,1
Input,omics matrices,MOFA2,1
Input,organism-specific queries,String.db,1
Input,paired omics data,MOFA2,1
Input,protein identifiers,String.db,1
Input,protein name,String.db,1
Input,protein sequences,"CarveMe, String.db, eggNOG-mapper",3
Input,ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes),GSEA,1
Input,restart probability,RWR,1
Input,seed,RWR,1
Input,seed nodes,"MULTIXRANK, RWR",2
Input,sequences,String.db,1
Input,taxonomic information,CarveMe,1
Input_format,adjacency matrix,RWR,1
Input_format,api queries,String.db,1
Input_format,biopax,Cytoscape,1
Input_format,cls,GSEA,1
Input_format,csv,"Cytoscape, MULTIXRANK, SNF, String.db",4
Input_format,edge list,RWR,1
Input_format,fasta,"CarveMe, String.db, eggNOG-mapper",3
Input_format,gct,GSEA,1
Input_format,gml,Cytoscape,1
Input_format,gmt,"GSEA, MULTIXRANK",2
Input_format,gmx,GSEA,1
Input_format,graphml,"Cytoscape, RWR",2
Input_format,gst,GSEA,1
Input_format,gzip,eggNOG-mapper,1
Input_format,json,"COBRApy, MULTIXRANK",2
Input_format,matlab,COBRApy,1
Input_format,matrices,MOFA2,1
