tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	expert_total	expert_retained_in_consensus	expert_not_retained	TP_annotations	FP_annotations	FN_annotations	expert_retained_annotations	expert_not_retained_annotations
deconvolutionLab2	topic	2	0	1	0	1.0	0.67	0.8	2	2	0	['confocal microscopy', 'wide field']	[]	['image restoration']	['confocal microscopy', 'wide field']	[]
deconvolutionLab2	operation	3	13	0	0	0.19	1.0	0.32	16	3	13	['deconvolution', 'point-spread function generation', 'preprocessing']	['bounded-variable least squares', 'egularized inverse filter', 'fista', 'ista.', 'iterative constraint tikhonov-miller', 'landweber (linear least squares)', 'naive inverse filter', 'non-negative least squares', 'richardson-lucy', 'richardson-lucy total variation', 'tikhonov inverse filter', 'tikhonov-miller', 'van cittert']	[]	['deconvolution', 'point-spread function generation', 'preprocessing']	['bounded-variable least squares', 'egularized inverse filter', 'fista', 'ista.', 'iterative constraint tikhonov-miller', 'landweber (linear least squares)', 'naive inverse filter', 'non-negative least squares', 'richardson-lucy', 'richardson-lucy total variation', 'tikhonov inverse filter', 'tikhonov-miller', 'van cittert']
deconvolutionLab2	input data	2	0	0	0	1.0	1.0	1.0	2	2	0	['microscopy images 3d', 'point spread function']	[]	[]	['microscopy images 3d', 'point spread function']	[]
deconvolutionLab2	output data	1	1	1	0	0.5	0.5	0.5	2	1	1	['point spread function']	['image stack']	['deconvolved image 3d']	['point spread function']	['image stack']
deconvolutionLab2	input format	1	0	0	0	1.0	1.0	1.0	1	1	0	['microscopy image format']	[]	[]	['microscopy image format']	[]
deconvolutionLab2	output format	1	0	0	0	1.0	1.0	1.0	1	1	0	['image format']	[]	[]	['image format']	[]
CellPose	topic	2	0	0	0	1.0	1.0	1.0	2	2	0	['cell segmentation', 'optical microscopy']	[]	[]	['cell segmentation', 'optical microscopy']	[]
CellPose	operation	3	0	1	0	1.0	0.75	0.86	2	2	0	['model training', 'segmentation 2d', 'segmentation 3d']	[]	['annotation']	['segmentation 2d', 'segmentation 3d']	[]
CellPose	input data	3	0	0	0	1.0	1.0	1.0	3	3	0	['annotation', 'microscopy images 2d', 'microscopy images 3d']	[]	[]	['annotation', 'microscopy images 2d', 'microscopy images 3d']	[]
CellPose	output data	3	0	1	0	1.0	0.75	0.86	3	3	0	['label masks', 'region of interest', 'structured dataset']	[]	['model weight']	['label masks', 'region of interest', 'structured dataset']	[]
CellPose	input format	3	0	1	0	1.0	0.75	0.86	2	2	0	['jpegs', 'png', 'tiff']	[]	['npy']	['jpegs', 'tiff']	[]
CellPose	output format	3	0	1	0	1.0	0.75	0.86	3	3	0	['imagej rois', 'npy', 'png']	[]	['model cellpose']	['imagej rois', 'npy', 'png']	[]
Big-FISH	topic	1	1	1	0	0.5	0.5	0.5	2	1	1	['spatial transcriptomics']	['in situ hybriditation microscopy']	['fluorescence in situ hybriditation microscopy']	['spatial transcriptomics']	['in situ hybriditation microscopy']
Big-FISH	operation	6	0	0	0	1.0	1.0	1.0	6	6	0	['cell segmentation', 'cluster detection', 'colocalisation', 'nucleus segmentation', 'preprocessing', 'spot detection']	[]	[]	['cell segmentation', 'cluster detection', 'colocalisation', 'nucleus segmentation', 'preprocessing', 'spot detection']	[]
Big-FISH	input data	0	1	1	0	0.0	0.0	0.0	1	0	1	[]	['microscopy images prepared by fish technique']	['fluorescence in situ hybriditation (fish) microscopy image']	[]	['microscopy images prepared by fish technique']
Big-FISH	output data	2	0	0	0	1.0	1.0	1.0	2	2	0	['label mask as np array', 'list of detection with additional features']	[]	[]	['label mask as np array', 'list of detection with additional features']	[]
Big-FISH	input format	5	0	0	0	1.0	1.0	1.0	5	5	0	['jpeg', 'jpg', 'png', 'tif', 'tiff']	[]	[]	['jpeg', 'jpg', 'png', 'tif', 'tiff']	[]
Big-FISH	output format	2	0	0	0	1.0	1.0	1.0	2	2	0	['image format', 'txt']	[]	[]	['image format', 'txt']	[]
EcClem	topic	2	0	0	0	1.0	1.0	1.0	1	1	0	['correlative microscopy', 'image registration']	[]	[]	['correlative microscopy']	[]
EcClem	operation	1	0	1	0	1.0	0.5	0.67	1	1	0	['fiducial list based registration']	[]	['error estimation']	['fiducial list based registration']	[]
EcClem	input data	3	0	0	0	1.0	1.0	1.0	3	3	0	['list of paired points', 'microscopy images 2d', 'microscopy images 3d']	[]	[]	['list of paired points', 'microscopy images 2d', 'microscopy images 3d']	[]
EcClem	output data	4	0	0	0	1.0	1.0	1.0	4	4	0	['error map in memory', 'overlay image', 'transformation matrix', 'transformed source image']	[]	[]	['error map in memory', 'overlay image', 'transformation matrix', 'transformed source image']	[]
EcClem	input format	2	0	0	0	1.0	1.0	1.0	2	2	0	['microscopy image format', 'xml']	[]	[]	['microscopy image format', 'xml']	[]
EcClem	output format	2	1	1	0	0.67	0.67	0.67	3	2	1	['csv', 'xml']	['tif']	['image format']	['csv', 'xml']	['tif']
