tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	deepseek_total	deepseek_retained_in_consensus	deepseek_not_retained	mixed_annotations_count	TP_annotations	FP_annotations	FN_annotations	deepseek_retained_annotations	deepseek_not_retained_annotations	mixed_annotations
htseq-count	topic	2	3	0	0	0.4	1.0	0.57	5	2	3	0	['gene expression quantification', 'rna sequencing']	['alternative splicing', 'count data', 'transcriptomics']	[]	['gene expression quantification', 'rna sequencing']	['alternative splicing', 'count data', 'transcriptomics']	[]
htseq-count	operation	0	5	1	0	0.0	0.0	0.0	5	0	5	0	[]	['ambiguity resolution', 'feature overlap detection', 'read counting', 'read pair handling', 'strandedness handling']	['counting reads in features']	[]	['ambiguity resolution', 'feature overlap detection', 'read counting', 'read pair handling', 'strandedness handling']	[]
htseq-count	input data	1	1	1	0	0.5	0.5	0.5	2	1	1	0	['gene annotation']	['aligned reads']	['alignments sequence']	['gene annotation']	['aligned reads']	[]
htseq-count	output data	0	1	1	0	0.0	0.0	0.0	1	0	1	0	[]	['count matrix']	['expression matrix']	[]	['count matrix']	[]
htseq-count	input format	4	0	0	0	1.0	1.0	1.0	4	4	0	0	['bam', 'gff', 'gtf', 'sam']	[]	[]	['bam', 'gff', 'gtf', 'sam']	[]	[]
htseq-count	output format	1	1	0	0	0.5	1.0	0.67	2	1	1	0	['tsv']	['txt']	[]	['tsv']	['txt']	[]
Bedtools_annotate	topic	1	4	0	0	0.2	1.0	0.33	4	0	4	1	['genomic comparaison']	['comparative genomics', 'functional annotation', 'genome analysis', 'variant analysis']	[]	[]	['comparative genomics', 'functional annotation', 'genome analysis', 'variant analysis']	['genomic comparaison']
Bedtools_annotate	operation	1	5	0	0	0.17	1.0	0.29	5	0	5	1	['genomic interval annotation']	['coverage fraction calculation', 'feature counting', 'genomic interval analysis', 'overlap calculation', 'strand-specific analysis']	[]	[]	['coverage fraction calculation', 'feature counting', 'genomic interval analysis', 'overlap calculation', 'strand-specific analysis']	['genomic interval annotation']
Bedtools_annotate	input data	3	0	0	0	1.0	1.0	1.0	3	3	0	0	['annotation tracks', 'genomic features', 'sequence variants']	[]	[]	['annotation tracks', 'genomic features', 'sequence variants']	[]	[]
Bedtools_annotate	output data	2	1	0	0	0.67	1.0	0.8	3	2	1	0	['annotated intervals', 'coverage statistics']	['count data']	[]	['annotated intervals', 'coverage statistics']	['count data']	[]
Bedtools_annotate	input format	3	0	0	0	1.0	1.0	1.0	3	3	0	0	['bed', 'gff', 'vcf']	[]	[]	['bed', 'gff', 'vcf']	[]	[]
Bedtools_annotate	output format	1	1	2	0	0.5	0.33	0.4	2	1	1	0	['bed']	['tabular text']	['gff', 'vcf']	['bed']	['tabular text']	[]
Sniffles2	topic	0	5	1	0	0.0	0.0	0.0	5	0	5	0	[]	['genomics', 'long-read sequencing', 'mosaic variant detection', 'population genetics', 'structural variation']	['detection of structural variants']	[]	['genomics', 'long-read sequencing', 'mosaic variant detection', 'population genetics', 'structural variation']	[]
Sniffles2	operation	0	5	1	0	0.0	0.0	0.0	5	0	5	0	[]	['consensus sequence generation', 'coverage-adaptive filtering', 'genotyping', 'repeat-aware clustering', 'structural variant calling']	['detection of structural variants from long reads']	[]	['consensus sequence generation', 'coverage-adaptive filtering', 'genotyping', 'repeat-aware clustering', 'structural variant calling']	[]
