annotation,tools,tool_count
annotation of genes and proteins using multiple functional databases,eggNOG-mapper,1
app-based extensibility,Cytoscape,1
automated model reconstruction,CarveMe,1
automation via scripting,Cytoscape,1
bayesian inference,MOFA2,1
cluster detection,Cytoscape,1
clustering,"SNF, String.db",2
confidence scoring,String.db,1
consensus network building,SNF,1
constraint-based simulations such as fba,COBRApy,1
construction of networks,Cytoscape,1
construction or modification of metabolic models,COBRApy,1
creation,String.db,1
customizable layout creation,Fluxer,1
data integration,Cytoscape,1
data retrieval,String.db,1
domain prediction,eggNOG-mapper,1
draft model generation,CarveMe,1
edition of networks,Cytoscape,1
enrichment analysis,String.db,1
exploration of interaction networks,String.db,1
feature weights inspection,MOFA2,1
flux balance analysis (fba),Fluxer,1
flux diagram rendering,Fluxer,1
flux variability analysis,COBRApy,1
functional enrichment analysis,GSEA,1
fused sample network creation,SNF,1
gap-filling,CarveMe,1
gap-filling of metabolic models,CarveMe,1
gene deletion analysis,COBRApy,1
gene set enrichment analysis,GSEA,1
gene set scoring,GSEA,1
graph metrics,Cytoscape,1
graph topology,Cytoscape,1
heterogeneous networks,MULTIXRANK,1
hierarchical annotation,eggNOG-mapper,1
interactive visualization,Fluxer,1
joint matrix factorisation,MOFA2,1
kernel-based integration,SNF,1
large-scale sequence analysis,eggNOG-mapper,1
matrix factorization,MOFA2,1
metabolic model simulation,Fluxer,1
metabolic model visualisation,Fluxer,1
metabolic network simulation,COBRApy,1
model parsing and manipulation,COBRApy,1
multi-omics integration,GSEA,1
network construction,String.db,1
network exploration,Cytoscape,1
network propagation,MULTIXRANK,1
network visualization,Cytoscape,1
networks fusion,SNF,1
optimization,COBRApy,1
orthology mapping,eggNOG-mapper,1
pathway mapping,Fluxer,1
prioritization algorithm,MULTIXRANK,1
random walk with restart,"MULTIXRANK, RWR",2
rank-based enrichment,GSEA,1
reconstruction of metabolic networks,CarveMe,1
reduction dimension,MOFA2,1
similarity matrices creation,SNF,1
similarity networks creation,SNF,1
single-sample variant,GSEA,1
statistical permutation,GSEA,1
variance decomposition,MOFA2,1
visualization,"GSEA, String.db",2
