tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
Fluxer	topic	5	0	0	0	1.0	1.0	1.0	['biochemistry education', 'metabolic flux analysis', 'metabolic modeling', 'pathway visualization', 'systems biology']	[]	[]
Fluxer	operation	7	0	0	0	1.0	1.0	1.0	['customizable layout creation', 'flux balance analysis (fba)', 'flux diagram rendering', 'interactive visualization', 'metabolic model simulation', 'metabolic model visualisation', 'pathway mapping']	[]	[]
Fluxer	input data	1	0	0	0	1.0	1.0	1.0	['a metabolic model']	[]	[]
Fluxer	output data	6	0	0	0	1.0	1.0	1.0	['annotated flux maps', 'biochemical pathway diagrams', 'metabolic model', 'networks', 'pictures', 'visualizations']	[]	[]
Fluxer	input format	1	0	0	0	1.0	1.0	1.0	['sbml']	[]	[]
Fluxer	output format	5	0	0	0	1.0	1.0	1.0	['graphml', 'pdf', 'png', 'sbml', 'svg']	[]	[]
CarveMe	topic	6	2	0	0	0.75	1.0	0.86	['community modeling', 'genome-scale metabolic modeling', 'metabolic networks', 'metabolic reconstruction', 'microbiology', 'systems biology']	['metabolic modeling', 'metabolic modelling']	[]
CarveMe	operation	4	1	1	0	0.8	0.8	0.8	['automated model reconstruction', 'draft model generation', 'gap-filling', 'reconstruction of metabolic networks']	['gap-filling of metabolic models.']	['gap-filling of metabolic models']
CarveMe	input data	4	0	0	0	1.0	1.0	1.0	['gene sequences', 'genome annotations', 'protein sequences', 'taxonomic information']	[]	[]
CarveMe	output data	3	0	0	0	1.0	1.0	1.0	['genome-scale metabolic models (gems)', 'metabolic model', 'metabolic networks']	[]	[]
CarveMe	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'sbml']	[]	[]
CarveMe	output format	4	0	0	0	1.0	1.0	1.0	['json', 'matlab', 'sbml', 'yaml']	[]	[]
COBRApy	topic	6	0	0	0	1.0	1.0	1.0	['constraint-based modeling', 'flux balance analysis', 'metabolic modelling', 'metabolic networks', 'metabolic reconstruction', 'systems biology']	[]	[]
COBRApy	operation	5	1	2	0	0.83	0.71	0.77	['construction or modification of metabolic models', 'flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation']	['constraint-based simulations such as fba.']	['constraint-based simulations such as fba', 'optimization']
COBRApy	input data	6	0	0	0	1.0	1.0	1.0	['constraints (e.g.reaction bounds)', 'genes)', 'metabolic models (reactions', 'metabolic network/model or nothing if created from scratch', 'metabolites', 'objective functions (e.g.biomass production)']	[]	[]
COBRApy	output data	2	1	3	0	0.67	0.4	0.5	['flux distributions', 'results of simulations']	['metabolic network/model']	['metabolic model', 'metabolic network', 'optimization results']
COBRApy	input format	4	0	0	0	1.0	1.0	1.0	['json', 'matlab', 'sbml', 'yaml']	[]	[]
COBRApy	output format	4	2	0	0	0.67	1.0	0.8	['json', 'matlab', 'sbml', 'yaml']	['python objects', 'text-based reports']	[]
Cytoscape	topic	12	0	0	0	1.0	1.0	1.0	['co-occurrence networks', 'data integration', 'graph theory', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'network exploration', 'network handling', 'network visualisation', 'protein-protein interactions', 'systems biology', 'visualization']	[]	[]
Cytoscape	operation	10	0	0	0	1.0	1.0	1.0	['app-based extensibility', 'automation via scripting', 'cluster detection', 'construction of networks', 'data integration', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration', 'network visualization']	[]	[]
Cytoscape	input data	2	2	2	0	0.5	0.5	0.5	['list of nodes and edges', 'network']	['edge metadata', 'node metadata']	['edge attribute', 'node attribute']
Cytoscape	output data	3	1	1	0	0.75	0.75	0.75	['analysis repport', 'metrics', 'network']	['pictures']	['images']
Cytoscape	input format	8	1	1	0	0.89	0.89	0.89	['biopax', 'gml', 'graphml', 'sbml', 'sif', 'tsv', 'xgmml', 'xls']	['txt']	['csv']
Cytoscape	output format	7	2	0	0	0.78	1.0	0.88	['cys', 'html', 'jpeg', 'pdf', 'png', 'sif', 'svg']	['text', 'txt']	[]
eggNOG-mapper	topic	5	0	0	0	1.0	1.0	1.0	['functional annotation of proteins', 'functional genomics', 'metagenomic annotation', 'orthology assignment', 'protein function prediction']	[]	[]
eggNOG-mapper	operation	5	0	0	0	1.0	1.0	1.0	['annotation of genes and proteins using multiple functional databases', 'domain prediction', 'hierarchical annotation', 'large-scale sequence analysis', 'orthology mapping']	[]	[]
eggNOG-mapper	input data	4	0	0	0	1.0	1.0	1.0	['gene sequences', 'metagenomic contigs', 'nucleotide sequences', 'protein sequences']	[]	[]
eggNOG-mapper	output data	3	0	1	0	1.0	0.75	0.86	['orthologous groups', 'table containing multiple annotations for each gene or protein', 'taxonomic assignments']	[]	['functional annotations']
eggNOG-mapper	input format	2	0	0	0	1.0	1.0	1.0	['fasta', 'gzip']	[]	[]
eggNOG-mapper	output format	2	0	0	0	1.0	1.0	1.0	['json', 'tsv']	[]	[]
GSEA	topic	6	0	0	0	1.0	1.0	1.0	['enrichment analysis', 'functional annotation', 'functional genomics', 'molecular signatures', 'pathway analysis', 'systems biology']	[]	[]
GSEA	operation	6	0	2	0	1.0	0.75	0.86	['functional enrichment analysis', 'gene set enrichment analysis', 'gene set scoring', 'multi-omics integration', 'rank-based enrichment', 'statistical permutation']	[]	['single-sample variant', 'visualization']
GSEA	input data	2	0	1	0	1.0	0.67	0.8	['gene expression matrix', 'ranked list genes/proteins (with weights) and annotations data (cellular functions/biological processes)']	[]	['gene sets']
GSEA	output data	7	0	0	0	1.0	1.0	1.0	['annotation p values', 'enrichment scores', 'false discovery rates (fdr)', 'graph', 'normalized enrichment plots', 'pictures', 'ranked gene lists']	[]	[]
GSEA	input format	5	0	1	0	1.0	0.83	0.91	['cls (phenotypes)', 'gct (expression data)', 'gmt', 'gst', 'txt (tabular)']	[]	['gmx']
GSEA	output format	8	0	0	0	1.0	1.0	1.0	['csv (tabular)', 'excel files', 'fi', 'html reports', 'pdf plots', 'png jpeg', 'svg', 'txt/tsv (results)']	[]	[]
