Source	Tool name	Topic	Operation	Input data	Output data	Input format	Output format
Consensus expert LLM	CellPose	Optical microscopy, cell segmentation	segmentation 2D,  segmentation 3D, Model training, annotation	microscopy images 2D, microscopy images 3D, annotation	structured dataset, label masks, Region of interest, model weight 	tiff, jpegs, PNG, npy	png, npy, imageJ Rois, model CellPose
Consensus expert	CellPose	Optical microscopy, cell segmentation	segmentation 2D,  segmentation 3D	microscopy images 2D, microscopy images 3D, annotation	structured dataset, label masks, Region of interest	tiff, jpegs	png, npy, imageJ Rois
proposition expert	CellPose	Optical microscopy, cell segmentation	deep learning based cell segmentation, 2D or 3D	microscopy images	structured dataset, label masks	tiff, jpegs	npy, png, imageJ Rois
proposition DeepSeek-V3.1	CellPose	Cellular imaging, Fluorescence microscopy, Phase-contrast microscopy, Histology, Cell biology, Neuroscience	Image segmentation, Cell detection, Instance segmentation, Model training, Model fine-tuning, Human-in-the-loop annotation, Style vector analysis, Clustering	Microscopy image, Fluorescence image, Phase-contrast image	Segmentation mask, Region of interest	TIFF, PNG	TIFF, PNG
Consensus expert LLM	EcClem	Correlative microscopy, Image registration	fiducial list based registration, error estimation	microscopy images 2D, microscopy images 3D, list of paired points	Error map in memory, Transformed source image, Overlay image, Transformation matrix	microscopy image format, XML	image format, csv, xml
Consensus expert	EcClem	Correlative microscopy	fiducial list based registration	microscopy images 2D, microscopy images 3D, list of paired points	Error map in memory, Transformed source image, Overlay image, Transformation matrix	microscopy image format, XML	tif, csv, xml
proposition expert	EcClem	Correlative microscopy	fiducial list based registration(rigid, affine, similarity or spline based non rigid)	microscopy images and list of paired points	Error map in memory, Transformed source dataset, Overlay, Transformation matrix	image format	tif, csv, xml
proposition DeepSeek-V3.1	EcClem	Correlative light and electron microscopy, Image registration, Multidimensional imaging, Bioimaging	Image alignment, Rigid registration, Non-rigid registration, 2D to 3D registration, 3D to 3D registration, Error mapping, Transformation application	Multidimensional image, Light microscopy image, Electron microscopy image, Region of interest	Registered image, Transformation matrix	XML, TIFF	XML, TIFF
Consensus expert LLM	Big-FISH	Fluorescence In situ hybriditation microscopy, spatial transcriptomics	preprocessing, Cell segmentation, Nucleus segmentation, spot detection , cluster detection, colocalisation	Fluorescence In situ hybriditation (FISH) microscopy image	label mask as np array, list of detection with additional features	png, jpg, jpeg, tif, tiff	image format, txt
Consensus expert	Big-FISH	In situ hybriditation microscopy, spatial transcriptomics	preprocessing, Cell segmentation, Nucleus segmentation, spot detection , cluster detection, colocalisation	microscopy images prepared by fish technique	label mask as np array, list of detection with additional features	png, jpg, jpeg, tif, tiff	image format, txt
proposition expert	Big-FISH	In situ hybriditation microscopy, spatial transcriptomics, smFish, mRNA, RNAFish	preprocessing, cell and nuclei segmentation, spot detection , cluster detection, colocalisation	microscopy images prepared by fish technique	label mask as np array, list of detection with additional features such as colocalisation or clusters	png, jpg, jpeg, tif, tiff	
proposition DeepSeek-V3.1	Big-FISH	Single-molecule fluorescence in situ hybridization, RNA imaging, Gene expression, Cell biology, Spatial genomics	Spot detection, Cell segmentation, Nucleus segmentation, Image preprocessing, Coordinate extraction, Statistical analysis, Pattern classification	smFISH image, 3D microscopy image, Fluorescence image	Detection coordinates, Cell mask, Nucleus mask, Statistical data	TIFF, MRC	CSV
Consensus expert LLM	deconvolutionLab2	Wide field, confocal microscopy, image restoration	preprocessing, deconvolution, Point-spread function generation	microscopy images 3D, Point spread function	Deconvolved image 3D, Point spread function	microscopy image format	image format
Consensus expert	deconvolutionLab2	Wide field, confocal microscopy	preprocessing, deconvolution, Point-spread function generation, egularized Inverse Filter, Tikhonov Inverse Filter, Naive Inverse Filter, Richardson-Lucy, Richardson-Lucy Total Variation, Landweber (Linear Least Squares), Non-negative Least Squares, Bounded-Variable Least Squares, Van Cittert, Tikhonov-Miller, Iterative Constraint Tikhonov-Miller, FISTA, ISTA.	microscopy images 3D, Point spread function	image stack, Point spread function	microscopy image format	image format
proposition expert	deconvolutionLab2	Wide field, confocal microscospy	preprocessing, deconvolution, Point-spread function generation, egularized Inverse Filter, Tikhonov Inverse Filter, Naive Inverse Filter, Richardson-Lucy, Richardson-Lucy Total Variation, Landweber (Linear Least Squares), Non-negative Least Squares, Bounded-Variable Least Squares, Van Cittert, Tikhonov-Miller, Iterative Constraint Tikhonov-Miller, FISTA, ISTA.	microscopy images 3D Stacks , possibly PSF as a 3D stack (a bead 3D stack)	image stack, optionnaly PSF if blind deconvolution as an image	Bioformat supported image	
proposition DeepSeek-V3.1	deconvolutionLab2	Fluorescence microscopy, Deconvolution microscopy, 3D imaging, Bioimaging, Signal processing	Image deconvolution, Richardson-Lucy deconvolution, Tikhonov regularization, Landweber algorithm, Inverse filtering, Fast iterative shrinkage-thresholding	Blurred image, microscopy images 3D, Point spread function	Deconvolved image, Restored image	TIFF	TIFF
