tool_name	annotation_type	TP	FP	FN	TN	precision	recall	f1_score	TP_annotations	FP_annotations	FN_annotations
Cytoscape	topic	7	1	5	0	0.88	0.58	0.7	['co-occurrence networks', 'metabolic pathways', 'molecular interaction networks', 'network biology', 'protein-protein interactions', 'systems biology', 'visualization']	['bioinformatics']	['data integration', 'graph theory', 'network exploration', 'network handling', 'network visualisation']
Cytoscape	operation	5	3	5	0	0.62	0.5	0.55	['app-based extensibility', 'automation via scripting', 'cluster detection', 'data integration', 'network visualization']	['attribute-based mapping', 'graph analysis', 'pathway mapping']	['construction of networks', 'edition of networks', 'graph metrics', 'graph topology', 'network exploration']
Cytoscape	input data	2	5	2	0	0.29	0.5	0.37	['edge attribute', 'node attribute']	['annotated genomes', 'attribute data', 'network topology', 'node and edge tables', 'phenotypic traits']	['list of nodes and edges', 'network']
Cytoscape	output data	1	4	3	0	0.2	0.25	0.22	['images']	['annotated graphs', 'interaction predictions', 'statistical results', 'visualized networks']	['analysis repport', 'metrics', 'network']
Cytoscape	input format	5	1	4	0	0.83	0.56	0.67	['csv', 'gml', 'graphml', 'sif', 'xgmml']	['csv/tsv']	['biopax', 'sbml', 'tsv', 'xls']
Cytoscape	output format	4	1	3	0	0.8	0.57	0.67	['html', 'pdf', 'png', 'svg']	['cytoscape session files (cys)']	['cys', 'jpeg', 'sif']
MULTIXRANK	topic	3	2	2	0	0.6	0.6	0.6	['multi-layer networks', 'network biology', 'node prioritization']	['pathway analysis', 'systems medicine']	['network analysis', 'network exploration']
MULTIXRANK	operation	3	2	1	0	0.6	0.75	0.67	['network propagation', 'prioritization algorithm', 'random walk with restart']	['cross-layer scoring', 'weighted aggregation']	['heterogeneous networks']
MULTIXRANK	input data	3	1	2	0	0.75	0.6	0.67	['edge weights', 'multi-layer network graphs', 'seed nodes']	['node features']	['heterogeneous networks', 'network and seed']
MULTIXRANK	output data	2	0	2	0	1.0	0.5	0.67	['ranked node lists', 'scores']	[]	['network ranking', 'network result']
MULTIXRANK	input format	5	0	2	0	1.0	0.71	0.83	['csv', 'gmt', 'json', 'sif', 'tsv']	[]	['txt', 'yml']
MULTIXRANK	output format	2	0	1	0	1.0	0.67	0.8	['csv', 'tsv']	[]	['sif']
String.db	topic	2	6	1	0	0.25	0.67	0.36	['functional enrichment', 'systems biology']	['comparative genomics', 'evolutionary inference', 'genomics', 'protein-protein interactions', 'proteomics', 'text mining']	['protein-protein interaction networks']
String.db	operation	3	5	5	0	0.38	0.38	0.38	['confidence scoring', 'data retrieval', 'network construction']	['cross-species propagation', 'functional enrichment analysis', 'genomic context prediction', 'orthology transfer', 'text mining']	['clustering', 'creation', 'enrichment analysis', 'exploration of interaction networks', 'visualization']
String.db	input data	4	0	2	0	1.0	0.67	0.8	['gene name', 'organism-specific queries', 'protein identifiers', 'protein sequences']	[]	['protein name', 'sequences']
String.db	output data	4	0	1	0	1.0	0.8	0.89	['confidence scores', 'enrichment results', 'functional annotations', 'interaction networks']	[]	['networks']
String.db	input format	4	0	0	0	1.0	1.0	1.0	['api queries', 'csv (protein lists)', 'fasta', 'txt']	[]	[]
String.db	output format	6	0	1	0	1.0	0.86	0.92	['cytoscape-compatible formats', 'json', 'png', 'svg', 'tsv', 'xml']	[]	['cys']
COBRApy	topic	4	1	2	0	0.8	0.67	0.73	['constraint-based modeling', 'flux balance analysis', 'metabolic reconstruction', 'systems biology']	['metabolic engineering']	['metabolic modelling', 'metabolic networks']
COBRApy	operation	6	1	1	0	0.86	0.86	0.86	['constraint-based simulations such as fba', 'flux variability analysis', 'gene deletion analysis', 'metabolic network simulation', 'model parsing and manipulation', 'optimization']	['optimization (e.g.linear programming)']	['construction or modification of metabolic models']
